ko	Genes
ko:K04926	Tco_004430
ko:K00864	Tco_004431
ko:K10482	Tco_004431
ko:K04503	Tco_004434
ko:K10151	Tco_004434
ko:K10152	Tco_004434
ko:K09645	Tco_004435
ko:K13289	Tco_004435
ko:K16298	Tco_004435
ko:K09645	Tco_004436
ko:K13289	Tco_004436
ko:K16298	Tco_004436
ko:K09645	Tco_004437
ko:K13289	Tco_004437
ko:K16298	Tco_004437
ko:K09645	Tco_004438
ko:K13289	Tco_004438
ko:K16298	Tco_004438
ko:K06199	Tco_004442
ko:K14640	Tco_004444
ko:K03781	Tco_004448
ko:K02541	Tco_004451
ko:K11972	Tco_004456
ko:K00949	Tco_004459
ko:K01187	Tco_004459
ko:K08288	Tco_004459
ko:K22455	Tco_004460
ko:K09494	Tco_004461
ko:K12493	Tco_004462
ko:K00272	Tco_004463
ko:K10727	Tco_004464
ko:K06928	Tco_004468
ko:K07819	Tco_004471
ko:K03877	Tco_004472
ko:K07820	Tco_004472
ko:K05181	Tco_004479
ko:K07418	Tco_004481
ko:K07418	Tco_004483
ko:K00501	Tco_004487
ko:K19805	Tco_004488
ko:K07819	Tco_004490
ko:K01109	Tco_004492
ko:K07852	Tco_004495
ko:K16674	Tco_004502
ko:K01950	Tco_004512
ko:K01016	Tco_004514
ko:K01016	Tco_004519
ko:K04803	Tco_004520
ko:K05312	Tco_004520
ko:K02725	Tco_004521
ko:K02725	Tco_004522
ko:K13141	Tco_004522
ko:K19496	Tco_004527
ko:K05665	Tco_004530
ko:K05666	Tco_004530
ko:K05665	Tco_004534
ko:K11262	Tco_004538
ko:K04803	Tco_004539
ko:K05312	Tco_004539
ko:K09048	Tco_004546
ko:K09048	Tco_004548
ko:K11262	Tco_004550
ko:K06106	Tco_004555
ko:K10867	Tco_004556
ko:K10888	Tco_004556
ko:K09057	Tco_004557
ko:K12171	Tco_004558
ko:K20301	Tco_004562
ko:K20301	Tco_004563
ko:K17279	Tco_004564
ko:K09864	Tco_004566
ko:K09864	Tco_004567
ko:K20314	Tco_004572
ko:K17779	Tco_004573
ko:K08193	Tco_004583
ko:K12301	Tco_004583
ko:K12300	Tco_004583
ko:K14767	Tco_004586
ko:K01052	Tco_004592
ko:K01052	Tco_004599
ko:K01052	Tco_004609
ko:K14452	Tco_004613
ko:K01052	Tco_004617
ko:K01052	Tco_004618
ko:K01052	Tco_004619
ko:K01052	Tco_004622
ko:K01052	Tco_004624
ko:K22193	Tco_004634
ko:K02580	Tco_004637
ko:K01052	Tco_004659
ko:K15323	Tco_004669
ko:K10318	Tco_004673
ko:K03009	Tco_004674
ko:K06110	Tco_004675
ko:K09216	Tco_004679
ko:K04362	Tco_004684
ko:K05126	Tco_004684
ko:K12378	Tco_004684
ko:K00927	Tco_004687
ko:K01869	Tco_004688
ko:K05665	Tco_004690
ko:K05665	Tco_004691
ko:K05667	Tco_004691
ko:K05666	Tco_004691
ko:K05669	Tco_004691
ko:K05670	Tco_004691
ko:K11262	Tco_004693
ko:K11262	Tco_004695
ko:K13587	Tco_004710
ko:K00552	Tco_004731
ko:K07418	Tco_004739
ko:K03883	Tco_004749
ko:K14155	Tco_004771
ko:K07741	Tco_004795
ko:K08305	Tco_004796
ko:K03940	Tco_004798
ko:K16911	Tco_004798
ko:K02600	Tco_004811
ko:K02600	Tco_004812
ko:K00036	Tco_004820
ko:K06947	Tco_004821
ko:K06820	Tco_004822
ko:K10084	Tco_004830
ko:K01205	Tco_004840
ko:K12495	Tco_004841
ko:K18461	Tco_004846
ko:K05201	Tco_004851
ko:K05202	Tco_004851
ko:K05203	Tco_004851
ko:K05313	Tco_004851
ko:K14453	Tco_004852
ko:K09383	Tco_004856
ko:K00088	Tco_004858
ko:K02540	Tco_004859
ko:K07750	Tco_004864
ko:K22282	Tco_004864
ko:K07750	Tco_004865
ko:K22282	Tco_004865
ko:K07750	Tco_004867
ko:K22282	Tco_004867
ko:K07750	Tco_004868
ko:K22282	Tco_004868
ko:K05206	Tco_004870
ko:K05207	Tco_004870
ko:K05850	Tco_004871
ko:K04397	Tco_004872
ko:K04489	Tco_004872
ko:K20008	Tco_004872
ko:K05850	Tco_004873
ko:K05850	Tco_004874
ko:K05850	Tco_004875
ko:K15595	Tco_004881
ko:K15278	Tco_004883
ko:K09522	Tco_004884
ko:K19519	Tco_004886
ko:K01870	Tco_004889
ko:K12865	Tco_004890
ko:K21873	Tco_004892
ko:K04409	Tco_004894
ko:K14793	Tco_004895
ko:K11491	Tco_004896
ko:K15825	Tco_004899
ko:K15687	Tco_004902
ko:K00006	Tco_004903
ko:K07753	Tco_004905
ko:K07753	Tco_004906
ko:K05312	Tco_004910
ko:K06258	Tco_004912
ko:K07305	Tco_004914
ko:K01580	Tco_004915
ko:K10728	Tco_004916
ko:K06704	Tco_004917
ko:K06704	Tco_004918
ko:K03948	Tco_004919
ko:K10415	Tco_004920
ko:K09648	Tco_004921
ko:K14453	Tco_004924
ko:K17503	Tco_004929
ko:K14972	Tco_004936
ko:K16882	Tco_004936
ko:K17795	Tco_004941
ko:K14288	Tco_004943
ko:K02882	Tco_004944
ko:K15980	Tco_004945
ko:K02136	Tco_004947
ko:K17307	Tco_004955
ko:K08683	Tco_004956
ko:K21774	Tco_004957
ko:K20393	Tco_004959
ko:K10686	Tco_004960
ko:K18405	Tco_004961
ko:K18413	Tco_004961
ko:K03019	Tco_004962
ko:K15278	Tco_004963
ko:K15278	Tco_004964
ko:K06636	Tco_004965
ko:K19719	Tco_004965
ko:K11418	Tco_004967
ko:K01988	Tco_004969
ko:K01988	Tco_004970
ko:K01988	Tco_004972
ko:K20360	Tco_004977
ko:K13130	Tco_004978
ko:K00382	Tco_004980
ko:K07192	Tco_004981
ko:K14799	Tco_004982
ko:K04715	Tco_005003
ko:K11318	Tco_005004
ko:K00387	Tco_005005
ko:K01017	Tco_005008
ko:K02607	Tco_005010
ko:K18156	Tco_005013
ko:K13176	Tco_005016
ko:K00182	Tco_005017
ko:K00572	Tco_005017
ko:K04443	Tco_005022
ko:K14031	Tco_005022
ko:K04630	Tco_005028
ko:K15122	Tco_005029
ko:K05099	Tco_005030
ko:K05100	Tco_005030
ko:K12388	Tco_005032
ko:K05093	Tco_005033
ko:K05094	Tco_005033
ko:K17411	Tco_005034
ko:K06265	Tco_005035
ko:K06265	Tco_005036
ko:K00799	Tco_005038
ko:K09515	Tco_005041
ko:K11793	Tco_005042
ko:K14011	Tco_005044
ko:K02519	Tco_005046
ko:K05631	Tco_005047
ko:K05204	Tco_005048
ko:K05205	Tco_005048
ko:K14388	Tco_005050
ko:K14388	Tco_005051
ko:K01598	Tco_005052
ko:K06316	Tco_005053
ko:K03462	Tco_005054
ko:K02729	Tco_005055
ko:K20195	Tco_005056
ko:K00030	Tco_005058
ko:K14832	Tco_005058
ko:K17254	Tco_005061
ko:K16757	Tco_005062
ko:K12311	Tco_005064
ko:K01712	Tco_005065
ko:K10258	Tco_005066
ko:K13528	Tco_005066
ko:K11098	Tco_005067
ko:K15203	Tco_005068
ko:K13511	Tco_005071
ko:K04511	Tco_005079
ko:K04511	Tco_005081
ko:K19946	Tco_005082
ko:K20700	Tco_005082
ko:K05727	Tco_005086
ko:K15285	Tco_005092
ko:K04958	Tco_005093
ko:K08733	Tco_005094
ko:K20132	Tco_005094
ko:K03037	Tco_005095
ko:K21413	Tco_005096
ko:K04733	Tco_005097
ko:K11445	Tco_005098
ko:K19414	Tco_005098
ko:K19415	Tco_005098
ko:K12666	Tco_005102
ko:K07951	Tco_005103
ko:K04730	Tco_005104
ko:K20405	Tco_005106
ko:K00457	Tco_005107
ko:K09527	Tco_005110
ko:K11126	Tco_005112
ko:K04437	Tco_005118
ko:K04437	Tco_005119
ko:K11529	Tco_005120
ko:K14962	Tco_005121
ko:K01436	Tco_005122
ko:K14677	Tco_005122
ko:K14650	Tco_005123
ko:K20224	Tco_005124
ko:K14033	Tco_005125
ko:K13194	Tco_005137
ko:K11668	Tco_005139
ko:K05606	Tco_005140
ko:K17285	Tco_005141
ko:K06943	Tco_005143
ko:K13207	Tco_005145
ko:K13207	Tco_005156
ko:K13278	Tco_005158
ko:K17285	Tco_005160
ko:K16550	Tco_005161
ko:K21347	Tco_005167
ko:K21348	Tco_005167
ko:K03320	Tco_005169
ko:K03320	Tco_005172
ko:K08743	Tco_005173
ko:K05349	Tco_005177
ko:K05349	Tco_005178
ko:K01667	Tco_005186
ko:K00306	Tco_005201
ko:K07575	Tco_005204
ko:K07575	Tco_005205
ko:K00128	Tco_005220
ko:K07249	Tco_005220
ko:K11649	Tco_005229
ko:K20472	Tco_005230
ko:K03952	Tco_005231
ko:K03353	Tco_005252
ko:K12825	Tco_005253
ko:K05195	Tco_005254
ko:K05195	Tco_005255
ko:K03105	Tco_005259
ko:K21396	Tco_005260
ko:K12323	Tco_005261
ko:K12324	Tco_005261
ko:K19673	Tco_005263
ko:K02085	Tco_005265
ko:K12400	Tco_005273
ko:K01772	Tco_005276
ko:K09597	Tco_005280
ko:K09597	Tco_005282
ko:K09596	Tco_005283
ko:K02978	Tco_005289
ko:K12200	Tco_005290
ko:K06704	Tco_005295
ko:K06704	Tco_005296
ko:K12301	Tco_005298
ko:K02128	Tco_005299
ko:K07374	Tco_005300
ko:K02894	Tco_005301
ko:K15008	Tco_005303
ko:K00456	Tco_005305
ko:K12399	Tco_005306
ko:K11140	Tco_005308
ko:K11140	Tco_005309
ko:K11405	Tco_005313
ko:K16578	Tco_005314
ko:K09182	Tco_005322
ko:K17894	Tco_005322
ko:K17895	Tco_005322
ko:K16627	Tco_005325
ko:K02886	Tco_005328
ko:K12627	Tco_005329
ko:K10956	Tco_005333
ko:K10736	Tco_005334
ko:K14327	Tco_005335
ko:K03178	Tco_005336
ko:K02540	Tco_005337
ko:K18024	Tco_005338
ko:K11127	Tco_005341
ko:K04500	Tco_005343
ko:K04500	Tco_005346
ko:K10306	Tco_005347
ko:K10357	Tco_005348
ko:K04501	Tco_005350
ko:K11644	Tco_005353
ko:K04677	Tco_005357
ko:K19631	Tco_005357
ko:K14862	Tco_005358
ko:K19525	Tco_005359
ko:K05467	Tco_005360
ko:K00287	Tco_005361
ko:K17606	Tco_005362
ko:K14683	Tco_005364
ko:K12491	Tco_005368
ko:K03123	Tco_005375
ko:K02930	Tco_005377
ko:K01829	Tco_005378
ko:K09583	Tco_005378
ko:K09502	Tco_005379
ko:K07374	Tco_005380
ko:K07432	Tco_005382
ko:K16765	Tco_005384
ko:K08145	Tco_005385
ko:K00889	Tco_005387
ko:K17776	Tco_005389
ko:K11492	Tco_005391
ko:K06890	Tco_005393
ko:K21767	Tco_005398
ko:K06271	Tco_005399
ko:K09041	Tco_005403
ko:K09041	Tco_005406
ko:K19375	Tco_005407
ko:K19680	Tco_005408
ko:K19897	Tco_005413
ko:K04635	Tco_005414
ko:K04634	Tco_005416
ko:K04634	Tco_005417
ko:K09454	Tco_005418
ko:K13353	Tco_005419
ko:K02602	Tco_005420
ko:K13280	Tco_005421
ko:K14616	Tco_005422
ko:K01283	Tco_005423
ko:K02154	Tco_005424
ko:K02154	Tco_005426
ko:K08145	Tco_005429
ko:K00949	Tco_005430
ko:K07380	Tco_005431
ko:K01783	Tco_005432
ko:K13596	Tco_005433
ko:K02606	Tco_005434
ko:K13127	Tco_005435
ko:K02151	Tco_005436
ko:K08889	Tco_005437
ko:K16548	Tco_005438
ko:K07901	Tco_005440
ko:K07890	Tco_005442
ko:K02503	Tco_005443
ko:K07976	Tco_005444
ko:K13194	Tco_005446
ko:K07342	Tco_005447
ko:K09188	Tco_005448
ko:K09549	Tco_005451
ko:K09497	Tco_005453
ko:K14972	Tco_005457
ko:K03155	Tco_005458
ko:K03155	Tco_005462
ko:K08155	Tco_005468
ko:K09113	Tco_005469
ko:K13194	Tco_005471
ko:K13194	Tco_005472
ko:K20180	Tco_005474
ko:K20180	Tco_005475
ko:K04671	Tco_005476
ko:K15378	Tco_005481
ko:K12323	Tco_005482
ko:K12323	Tco_005484
ko:K10314	Tco_005495
ko:K16716	Tco_005496
ko:K16728	Tco_005496
ko:K05312	Tco_005500
ko:K10980	Tco_005501
ko:K06224	Tco_005511
ko:K06224	Tco_005513
ko:K11479	Tco_005519
ko:K11481	Tco_005519
ko:K10370	Tco_005520
ko:K04874	Tco_005522
ko:K15381	Tco_005522
ko:K12504	Tco_005523
ko:K11731	Tco_005524
ko:K11731	Tco_005525
ko:K13089	Tco_005526
ko:K08955	Tco_005527
ko:K11839	Tco_005529
ko:K21138	Tco_005533
ko:K00831	Tco_005534
ko:K00873	Tco_005536
ko:K00901	Tco_005537
ko:K02736	Tco_005542
ko:K20188	Tco_005543
ko:K14158	Tco_005544
ko:K14383	Tco_005544
ko:K00471	Tco_005545
ko:K00474	Tco_005545
ko:K01875	Tco_005550
ko:K15708	Tco_005552
ko:K12804	Tco_005553
ko:K00726	Tco_005558
ko:K13963	Tco_005562
ko:K13963	Tco_005563
ko:K13963	Tco_005564
ko:K13963	Tco_005565
ko:K13963	Tco_005566
ko:K13963	Tco_005567
ko:K13963	Tco_005568
ko:K02183	Tco_005569
ko:K00699	Tco_005570
ko:K15159	Tco_005571
ko:K07050	Tco_005572
ko:K09322	Tco_005573
ko:K15085	Tco_005574
ko:K13298	Tco_005576
ko:K02272	Tco_005578
ko:K01969	Tco_005579
ko:K17425	Tco_005579
ko:K07977	Tco_005593
ko:K01047	Tco_005594
ko:K20349	Tco_005595
ko:K00597	Tco_005596
ko:K15603	Tco_005607
ko:K09362	Tco_005608
ko:K06975	Tco_005609
ko:K17356	Tco_005610
ko:K15119	Tco_005611
ko:K01192	Tco_005614
ko:K01192	Tco_005615
ko:K01192	Tco_005616
ko:K01192	Tco_005617
ko:K04797	Tco_005618
ko:K01265	Tco_005619
ko:K22503	Tco_005620
ko:K09228	Tco_005621
ko:K19871	Tco_005621
ko:K17919	Tco_005625
ko:K17387	Tco_005626
ko:K08743	Tco_005627
ko:K14402	Tco_005629
ko:K11224	Tco_005630
ko:K17426	Tco_005631
ko:K14711	Tco_005633
ko:K08773	Tco_005635
ko:K12301	Tco_005636
ko:K03137	Tco_005637
ko:K02089	Tco_005640
ko:K02091	Tco_005640
ko:K02503	Tco_005640
ko:K01874	Tco_005641
ko:K05273	Tco_005650
ko:K13697	Tco_005654
ko:K19572	Tco_005654
ko:K11141	Tco_005655
ko:K11141	Tco_005656
ko:K01922	Tco_005657
ko:K15105	Tco_005658
ko:K10903	Tco_005659
ko:K11363	Tco_005660
ko:K11303	Tco_005661
ko:K18190	Tco_005662
ko:K20307	Tco_005663
ko:K19001	Tco_005665
ko:K22291	Tco_005667
ko:K03626	Tco_005668
ko:K02939	Tco_005670
ko:K00861	Tco_005671
ko:K17382	Tco_005672
ko:K01231	Tco_005673
ko:K05692	Tco_005675
ko:K01324	Tco_005677
ko:K11322	Tco_005681
ko:K03258	Tco_005690
ko:K19400	Tco_005691
ko:K21954	Tco_005692
ko:K16799	Tco_005694
ko:K12198	Tco_005721
ko:K15275	Tco_005727
ko:K14683	Tco_005728
ko:K12562	Tco_005730
ko:K03033	Tco_005731
ko:K02360	Tco_005740
ko:K14805	Tco_005743
ko:K10356	Tco_005752
ko:K10356	Tco_005753
ko:K02365	Tco_005755
ko:K00602	Tco_005756
ko:K05701	Tco_005757
ko:K15177	Tco_005761
ko:K10627	Tco_005762
ko:K03347	Tco_005764
ko:K21031	Tco_005766
ko:K12871	Tco_005767
ko:K10273	Tco_005768
ko:K00020	Tco_005772
ko:K09301	Tco_005774
ko:K09302	Tco_005775
ko:K09304	Tco_005777
ko:K09311	Tco_005779
ko:K09311	Tco_005783
ko:K09311	Tco_005788
ko:K09311	Tco_005795
ko:K09311	Tco_005797
ko:K09311	Tco_005802
ko:K09311	Tco_005803
ko:K09300	Tco_005820
ko:K21951	Tco_005820
ko:K09320	Tco_005828
ko:K02599	Tco_005829
ko:K02542	Tco_005830
ko:K03283	Tco_005831
ko:K03283	Tco_005832
ko:K03283	Tco_005833
ko:K03283	Tco_005834
ko:K03283	Tco_005835
ko:K03283	Tco_005837
ko:K01283	Tco_005838
ko:K18060	Tco_005839
ko:K10881	Tco_005840
ko:K09640	Tco_005842
ko:K09640	Tco_005843
ko:K10080	Tco_005846
ko:K06766	Tco_005847
ko:K10800	Tco_005850
ko:K12741	Tco_005851
ko:K15189	Tco_005853
ko:K21444	Tco_005855
ko:K21444	Tco_005856
ko:K15631	Tco_005863
ko:K04634	Tco_005864
ko:K13104	Tco_005864
ko:K09529	Tco_005865
ko:K02604	Tco_005867
ko:K20472	Tco_005867
ko:K09321	Tco_005870
ko:K10323	Tco_005881
ko:K09640	Tco_005883
ko:K07885	Tco_005891
ko:K07886	Tco_005891
ko:K16734	Tco_005895
ko:K04134	Tco_005899
ko:K01487	Tco_005903
ko:K11265	Tco_005903
ko:K06890	Tco_005904
ko:K11579	Tco_005906
ko:K06890	Tco_005907
ko:K06890	Tco_005908
ko:K01590	Tco_005910
ko:K12602	Tco_005911
ko:K18170	Tco_005913
ko:K11651	Tco_005914
ko:K07904	Tco_005918
ko:K07819	Tco_005923
ko:K07819	Tco_005924
ko:K07820	Tco_005924
ko:K07819	Tco_005925
ko:K04710	Tco_005931
ko:K04710	Tco_005932
ko:K01555	Tco_005938
ko:K06841	Tco_005940
ko:K17616	Tco_005944
ko:K14716	Tco_005948
ko:K09675	Tco_005950
ko:K11664	Tco_005951
ko:K08656	Tco_005953
ko:K00757	Tco_005955
ko:K09319	Tco_005956
ko:K18488	Tco_005963
ko:K17307	Tco_005965
ko:K09275	Tco_005968
ko:K11832	Tco_005969
ko:K00757	Tco_005974
ko:K15188	Tco_005975
ko:K12196	Tco_005994
ko:K20630	Tco_005996
ko:K00784	Tco_005999
ko:K12843	Tco_006000
ko:K21286	Tco_006002
ko:K08765	Tco_006006
ko:K02206	Tco_006007
ko:K00854	Tco_006008
ko:K19761	Tco_006009
ko:K00898	Tco_006011
ko:K13539	Tco_006015
ko:K01084	Tco_006021
ko:K13111	Tco_006040
ko:K00604	Tco_006041
ko:K12847	Tco_006042
ko:K13024	Tco_006042
ko:K01312	Tco_006045
ko:K01324	Tco_006045
ko:K09637	Tco_006046
ko:K20349	Tco_006048
ko:K09502	Tco_006051
ko:K17759	Tco_006052
ko:K00600	Tco_006062
ko:K08271	Tco_006066
ko:K18469	Tco_006067
ko:K15537	Tco_006069
ko:K09299	Tco_006070
ko:K09299	Tco_006071
ko:K19511	Tco_006088
ko:K02492	Tco_006089
ko:K01016	Tco_006095
ko:K02492	Tco_006096
ko:K01016	Tco_006099
ko:K20877	Tco_006104
ko:K20877	Tco_006105
ko:K13887	Tco_006106
ko:K18646	Tco_006109
ko:K04558	Tco_006118
ko:K02726	Tco_006121
ko:K02911	Tco_006122
ko:K01681	Tco_006124
ko:K06634	Tco_006128
ko:K12751	Tco_006130
ko:K09057	Tco_006131
ko:K10884	Tco_006136
ko:K15121	Tco_006138
ko:K07151	Tco_006163
ko:K19539	Tco_006164
ko:K05668	Tco_006176
ko:K21863	Tco_006176
ko:K05668	Tco_006177
ko:K05672	Tco_006177
ko:K21863	Tco_006177
ko:K10567	Tco_006178
ko:K10842	Tco_006181
ko:K10703	Tco_006182
ko:K03245	Tco_006191
ko:K10408	Tco_006192
ko:K14292	Tco_006192
ko:K00030	Tco_006193
ko:K03522	Tco_006194
ko:K21066	Tco_006201
ko:K08622	Tco_006203
ko:K08626	Tco_006203
ko:K08056	Tco_006210
ko:K20818	Tco_006211
ko:K09395	Tco_006212
ko:K09411	Tco_006212
ko:K06847	Tco_006214
ko:K06847	Tco_006215
ko:K01349	Tco_006218
ko:K08654	Tco_006218
ko:K17414	Tco_006220
ko:K01349	Tco_006221
ko:K08654	Tco_006221
ko:K00128	Tco_006223
ko:K11968	Tco_006224
ko:K01304	Tco_006227
ko:K04708	Tco_006228
ko:K09370	Tco_006233
ko:K16571	Tco_006236
ko:K16220	Tco_006237
ko:K10951	Tco_006238
ko:K10951	Tco_006239
ko:K10951	Tco_006240
ko:K10951	Tco_006241
ko:K02132	Tco_006242
ko:K11416	Tco_006243
ko:K10456	Tco_006246
ko:K01183	Tco_006247
ko:K01183	Tco_006249
ko:K01183	Tco_006250
ko:K01183	Tco_006252
ko:K01183	Tco_006253
ko:K04280	Tco_006254
ko:K03937	Tco_006256
ko:K06842	Tco_006265
ko:K15620	Tco_006266
ko:K08115	Tco_006269
ko:K04539	Tco_006270
ko:K06535	Tco_006271
ko:K15309	Tco_006274
ko:K16335	Tco_006274
ko:K15309	Tco_006275
ko:K16335	Tco_006275
ko:K04523	Tco_006276
ko:K02880	Tco_006277
ko:K01349	Tco_006278
ko:K08654	Tco_006278
ko:K19502	Tco_006278
ko:K04368	Tco_006283
ko:K18085	Tco_006284
ko:K11247	Tco_006285
ko:K14999	Tco_006286
ko:K14999	Tco_006288
ko:K14999	Tco_006289
ko:K15146	Tco_006291
ko:K03259	Tco_006292
ko:K13871	Tco_006299
ko:K13871	Tco_006300
ko:K12796	Tco_006301
ko:K13866	Tco_006301
ko:K11826	Tco_006302
ko:K02891	Tco_006304
ko:K01793	Tco_006305
ko:K08471	Tco_006307
ko:K16458	Tco_006307
ko:K00408	Tco_006308
ko:K01384	Tco_006308
ko:K12040	Tco_006330
ko:K14722	Tco_006330
ko:K09090	Tco_006335
ko:K06054	Tco_006336
ko:K09089	Tco_006336
ko:K01176	Tco_006338
ko:K01176	Tco_006339
ko:K08341	Tco_006341
ko:K11981	Tco_006342
ko:K12861	Tco_006344
ko:K03857	Tco_006345
ko:K10317	Tco_006349
ko:K07297	Tco_006350
ko:K04536	Tco_006352
ko:K07972	Tco_006353
ko:K13647	Tco_006354
ko:K04554	Tco_006355
ko:K04554	Tco_006356
ko:K00734	Tco_006357
ko:K15542	Tco_006362
ko:K15544	Tco_006363
ko:K14539	Tco_006364
ko:K11787	Tco_006365
ko:K15500	Tco_006366
ko:K15501	Tco_006366
ko:K03846	Tco_006367
ko:K00600	Tco_006368
ko:K16740	Tco_006368
ko:K20641	Tco_006368
ko:K17985	Tco_006369
ko:K19583	Tco_006370
ko:K01183	Tco_006371
ko:K01183	Tco_006372
ko:K01183	Tco_006373
ko:K01183	Tco_006374
ko:K01183	Tco_006375
ko:K02958	Tco_006376
ko:K00914	Tco_006383
ko:K11546	Tco_006384
ko:K00914	Tco_006385
ko:K10409	Tco_006386
ko:K00774	Tco_006388
ko:K05868	Tco_006388
ko:K21770	Tco_006388
ko:K10356	Tco_006390
ko:K04955	Tco_006392
ko:K14709	Tco_006394
ko:K04661	Tco_006395
ko:K11982	Tco_006399
ko:K08803	Tco_006400
ko:K08803	Tco_006402
ko:K05128	Tco_006405
ko:K12863	Tco_006412
ko:K08838	Tco_006413
ko:K08838	Tco_006414
ko:K03257	Tco_006415
ko:K15044	Tco_006417
ko:K19192	Tco_006418
ko:K05128	Tco_006419
ko:K00383	Tco_006420
ko:K12172	Tco_006421
ko:K01934	Tco_006424
ko:K10516	Tco_006427
ko:K13499	Tco_006428
ko:K15686	Tco_006432
ko:K20288	Tco_006435
ko:K08675	Tco_006438
ko:K08675	Tco_006439
ko:K19904	Tco_006449
ko:K20674	Tco_006449
ko:K17917	Tco_006450
ko:K00544	Tco_006452
ko:K00547	Tco_006452
ko:K11247	Tco_006454
ko:K10571	Tco_006455
ko:K18437	Tco_006461
ko:K05312	Tco_006463
ko:K00901	Tco_006464
ko:K05312	Tco_006466
ko:K09574	Tco_006467
ko:K13151	Tco_006468
ko:K04349	Tco_006492
ko:K12326	Tco_006492
ko:K04349	Tco_006495
ko:K12326	Tco_006495
ko:K15214	Tco_006496
ko:K11860	Tco_006498
ko:K15187	Tco_006499
ko:K17409	Tco_006500
ko:K10261	Tco_006501
ko:K13273	Tco_006502
ko:K20099	Tco_006503
ko:K12479	Tco_006504
ko:K20915	Tco_006508
ko:K09131	Tco_006510
ko:K01518	Tco_006511
ko:K01185	Tco_006517
ko:K04834	Tco_006519
ko:K05728	Tco_006526
ko:K04360	Tco_006527
ko:K02991	Tco_006529
ko:K05767	Tco_006530
ko:K16848	Tco_006530
ko:K07106	Tco_006533
ko:K18676	Tco_006533
ko:K02539	Tco_006535
ko:K04570	Tco_006535
ko:K13750	Tco_006538
ko:K04447	Tco_006539
ko:K15183	Tco_006540
ko:K11803	Tco_006541
ko:K14137	Tco_006543
ko:K14709	Tco_006546
ko:K18201	Tco_006547
ko:K20182	Tco_006548
ko:K15680	Tco_006549
ko:K04944	Tco_006551
ko:K11125	Tco_006552
ko:K04497	Tco_006554
ko:K04497	Tco_006557
ko:K15273	Tco_006558
ko:K00008	Tco_006560
ko:K00008	Tco_006561
ko:K02948	Tco_006564
ko:K11367	Tco_006565
ko:K20091	Tco_006565
ko:K05313	Tco_006566
ko:K05313	Tco_006568
ko:K17406	Tco_006569
ko:K18529	Tco_006571
ko:K01868	Tco_006574
ko:K00733	Tco_006575
ko:K12886	Tco_006575
ko:K15210	Tco_006576
ko:K03024	Tco_006578
ko:K03544	Tco_006579
ko:K04803	Tco_006580
ko:K05312	Tco_006580
ko:K04803	Tco_006581
ko:K05312	Tco_006581
ko:K10738	Tco_006582
ko:K16766	Tco_006582
ko:K18078	Tco_006582
ko:K14411	Tco_006583
ko:K07414	Tco_006584
ko:K07417	Tco_006584
ko:K07418	Tco_006584
ko:K07419	Tco_006584
ko:K07422	Tco_006584
ko:K07414	Tco_006585
ko:K07418	Tco_006585
ko:K07419	Tco_006585
ko:K07422	Tco_006585
ko:K07414	Tco_006586
ko:K07418	Tco_006586
ko:K07419	Tco_006586
ko:K07422	Tco_006586
ko:K14985	Tco_006586
ko:K07418	Tco_006587
ko:K07414	Tco_006588
ko:K07418	Tco_006588
ko:K07419	Tco_006588
ko:K07422	Tco_006588
ko:K14985	Tco_006588
ko:K07414	Tco_006589
ko:K07418	Tco_006589
ko:K07419	Tco_006589
ko:K07422	Tco_006589
ko:K14985	Tco_006589
ko:K04674	Tco_006591
ko:K04674	Tco_006593
ko:K08776	Tco_006597
ko:K11850	Tco_006598
ko:K09200	Tco_006599
ko:K06823	Tco_006600
ko:K09536	Tco_006603
ko:K19934	Tco_006604
ko:K02333	Tco_006605
ko:K11459	Tco_006605
ko:K06677	Tco_006607
ko:K01689	Tco_006609
ko:K12489	Tco_006610
ko:K01077	Tco_006613
ko:K05688	Tco_006622
ko:K10597	Tco_006623
ko:K04593	Tco_006624
ko:K20290	Tco_006628
ko:K04990	Tco_006629
ko:K12663	Tco_006631
ko:K01081	Tco_006632
ko:K11161	Tco_006632
ko:K11162	Tco_006632
ko:K19031	Tco_006635
ko:K22144	Tco_006635
ko:K11168	Tco_006638
ko:K01203	Tco_006639
ko:K12047	Tco_006639
ko:K20293	Tco_006640
ko:K07152	Tco_006641
ko:K03061	Tco_006643
ko:K00297	Tco_006647
ko:K03012	Tco_006648
ko:K11314	Tco_006648
ko:K09567	Tco_006650
ko:K14610	Tco_006651
ko:K05628	Tco_006654
ko:K16727	Tco_006655
ko:K17079	Tco_006656
ko:K10408	Tco_006657
ko:K17494	Tco_006658
ko:K14323	Tco_006662
ko:K02684	Tco_006663
ko:K16733	Tco_006663
ko:K02357	Tco_006665
ko:K08706	Tco_006666
ko:K08776	Tco_006670
ko:K02311	Tco_006678
ko:K10089	Tco_006679
ko:K16777	Tco_006692
ko:K18269	Tco_006693
ko:K06674	Tco_006694
ko:K04439	Tco_006695
ko:K06497	Tco_006700
ko:K07299	Tco_006701
ko:K15117	Tco_006703
ko:K01301	Tco_006706
ko:K20779	Tco_006707
ko:K05769	Tco_006708
ko:K01673	Tco_006719
ko:K06671	Tco_006720
ko:K09878	Tco_006725
ko:K05761	Tco_006726
ko:K08017	Tco_006726
ko:K01121	Tco_006731
ko:K07418	Tco_006732
