KOG	Genes
T	Tco_002486
E	Tco_002488
O	Tco_002489
G	Tco_002490
TZ	Tco_002493
D	Tco_002494
S	Tco_002495
C	Tco_002496
O	Tco_002497
U	Tco_002498
T	Tco_002501
Z	Tco_002502
TU	Tco_002504
C	Tco_002505
K	Tco_002506
K	Tco_002507
T	Tco_002508
S	Tco_002509
E	Tco_002510
S	Tco_002511
J	Tco_002512
K	Tco_002513
O	Tco_002517
O	Tco_002520
S	Tco_002521
S	Tco_002523
L	Tco_002524
D	Tco_002527
G	Tco_002533
K	Tco_002534
S	Tco_002535
S	Tco_002536
L	Tco_002538
S	Tco_002540
S	Tco_002541
U	Tco_002542
J	Tco_002545
T	Tco_002546
U	Tco_002547
CO	Tco_002549
T	Tco_002550
T	Tco_002552
F	Tco_002553
T	Tco_002554
W	Tco_002555
S	Tco_002557
S	Tco_002558
I	Tco_002559
U	Tco_002560
U	Tco_002561
S	Tco_002563
S	Tco_002564
T	Tco_002566
O	Tco_002567
S	Tco_002568
T	Tco_002570
S	Tco_002571
O	Tco_002572
S	Tco_002574
S	Tco_002575
O	Tco_002576
T	Tco_002578
S	Tco_002579
U	Tco_002580
LT	Tco_002581
J	Tco_002582
J	Tco_002583
S	Tco_002584
T	Tco_002585
T	Tco_002586
T	Tco_002587
O	Tco_002588
E	Tco_002589
E	Tco_002590
E	Tco_002592
T	Tco_002593
OT	Tco_002594
P	Tco_002596
U	Tco_002597
S	Tco_002599
O	Tco_002600
T	Tco_002601
T	Tco_002602
T	Tco_002603
O	Tco_002605
BDLT	Tco_002606
T	Tco_002607
KT	Tco_002608
S	Tco_002609
GMO	Tco_002610
T	Tco_002611
AJ	Tco_002612
S	Tco_002613
S	Tco_002614
J	Tco_002615
T	Tco_002616
T	Tco_002617
S	Tco_002618
C	Tco_002619
GM	Tco_002620
O	Tco_002621
BD	Tco_002622
EI	Tco_002624
O	Tco_002625
S	Tco_002626
S	Tco_002627
S	Tco_002628
F	Tco_002629
F	Tco_002630
T	Tco_002632
G	Tco_002633
E	Tco_002634
E	Tco_002635
S	Tco_002636
S	Tco_002637
K	Tco_002640
K	Tco_002641
J	Tco_002644
T	Tco_002645
S	Tco_002646
F	Tco_002647
T	Tco_002648
L	Tco_002649
T	Tco_002650
A	Tco_002651
A	Tco_002652
T	Tco_002653
O	Tco_002654
S	Tco_002655
L	Tco_002656
S	Tco_002659
P	Tco_002660
P	Tco_002661
L	Tco_002662
S	Tco_002662
A	Tco_002663
T	Tco_002666
H	Tco_002667
S	Tco_002668
S	Tco_002669
G	Tco_002670
G	Tco_002671
G	Tco_002672
G	Tco_002673
G	Tco_002674
K	Tco_002677
K	Tco_002680
O	Tco_002681
T	Tco_002682
T	Tco_002683
G	Tco_002685
U	Tco_002687
S	Tco_002688
S	Tco_002690
K	Tco_002692
S	Tco_002694
S	Tco_002696
S	Tco_002698
G	Tco_002699
T	Tco_002700
S	Tco_002702
Z	Tco_002703
S	Tco_002704
D	Tco_002705
S	Tco_002706
O	Tco_002707
K	Tco_002709
B	Tco_002710
E	Tco_002711
U	Tco_002712
S	Tco_002713
S	Tco_002714
T	Tco_002715
T	Tco_002718
K	Tco_002721
E	Tco_002722
A	Tco_002725
KL	Tco_002726
A	Tco_002727
J	Tco_002730
S	Tco_002731
S	Tco_002732
K	Tco_002733
J	Tco_002734
J	Tco_002735
S	Tco_002736
T	Tco_002737
S	Tco_002738
MOU	Tco_002739
T	Tco_002740
U	Tco_002741
J	Tco_002742
I	Tco_002744
O	Tco_002747
W	Tco_002750
S	Tco_002751
OT	Tco_002752
S	Tco_002753
S	Tco_002754
S	Tco_002755
C	Tco_002756
T	Tco_002757
H	Tco_002758
A	Tco_002759
S	Tco_002760
C	Tco_002761
S	Tco_002763
J	Tco_002765
T	Tco_002767
T	Tco_002769
S	Tco_002771
A	Tco_002772
A	Tco_002774
S	Tco_002775
K	Tco_002776
P	Tco_002777
ADL	Tco_002778
U	Tco_002779
U	Tco_002781
U	Tco_002782
U	Tco_002783
U	Tco_002784
Z	Tco_002786
Z	Tco_002787
G	Tco_002792
S	Tco_002794
G	Tco_002795
G	Tco_002797
G	Tco_002800
S	Tco_002802
K	Tco_002803
S	Tco_002804
S	Tco_002805
KL	Tco_002806
S	Tco_002808
J	Tco_002809
P	Tco_002810
T	Tco_002811
S	Tco_002812
S	Tco_002813
F	Tco_002814
G	Tco_002815
G	Tco_002816
T	Tco_002821
O	Tco_002822
EJ	Tco_002823
S	Tco_002824
G	Tco_002826
D	Tco_002827
J	Tco_002829
G	Tco_002830
C	Tco_002831
V	Tco_002832
K	Tco_002833
S	Tco_002834
Q	Tco_002835
Q	Tco_002838
U	Tco_002839
T	Tco_002840
L	Tco_002843
C	Tco_002846
K	Tco_002848
O	Tco_002849
L	Tco_002850
G	Tco_002851
S	Tco_002852
C	Tco_002853
S	Tco_002854
T	Tco_002855
T	Tco_002856
T	Tco_002857
K	Tco_002861
T	Tco_002862
K	Tco_002863
K	Tco_002865
K	Tco_002867
K	Tco_002868
K	Tco_002871
S	Tco_002877
T	Tco_002879
T	Tco_002881
H	Tco_002883
G	Tco_002885
F	Tco_002886
S	Tco_002888
EG	Tco_002889
U	Tco_002891
A	Tco_002892
ADK	Tco_002893
J	Tco_002895
D	Tco_002896
E	Tco_002898
E	Tco_002899
E	Tco_002900
B	Tco_002901
T	Tco_002905
IQ	Tco_002905
S	Tco_002907
G	Tco_002909
P	Tco_002912
L	Tco_002913
K	Tco_002914
O	Tco_002916
K	Tco_002918
E	Tco_002920
E	Tco_002921
E	Tco_002922
E	Tco_002923
E	Tco_002924
E	Tco_002925
J	Tco_002926
PT	Tco_002927
G	Tco_002931
O	Tco_002932
J	Tco_002934
O	Tco_002941
S	Tco_002942
K	Tco_002947
Q	Tco_002952
E	Tco_002953
E	Tco_002954
PT	Tco_002958
T	Tco_002970
PT	Tco_002971
T	Tco_002972
T	Tco_002973
A	Tco_002982
A	Tco_002988
K	Tco_002989
E	Tco_002993
E	Tco_002994
E	Tco_002995
E	Tco_002996
E	Tco_002997
E	Tco_003000
T	Tco_003002
E	Tco_003003
O	Tco_003004
K	Tco_003015
K	Tco_003018
S	Tco_003025
S	Tco_003028
A	Tco_003029
S	Tco_003030
Z	Tco_003032
T	Tco_003033
S	Tco_003034
S	Tco_003037
S	Tco_003040
O	Tco_003041
S	Tco_003042
O	Tco_003043
S	Tco_003044
O	Tco_003046
B	Tco_003048
S	Tco_003052
S	Tco_003053
S	Tco_003054
S	Tco_003057
G	Tco_003058
G	Tco_003059
E	Tco_003061
S	Tco_003064
OT	Tco_003067
S	Tco_003068
S	Tco_003070
S	Tco_003071
S	Tco_003072
E	Tco_003076
K	Tco_003077
E	Tco_003078
T	Tco_003079
S	Tco_003080
T	Tco_003082
S	Tco_003084
W	Tco_003086
T	Tco_003087
T	Tco_003095
S	Tco_003097
S	Tco_003098
C	Tco_003099
W	Tco_003101
S	Tco_003106
O	Tco_003107
A	Tco_003110
P	Tco_003114
S	Tco_003115
O	Tco_003116
T	Tco_003117
T	Tco_003120
T	Tco_003121
O	Tco_003125
S	Tco_003128
T	Tco_003129
U	Tco_003134
T	Tco_003138
O	Tco_003139
O	Tco_003140
T	Tco_003141
J	Tco_003144
E	Tco_003145
U	Tco_003146
O	Tco_003147
J	Tco_003148
C	Tco_003149
B	Tco_003152
S	Tco_003153
T	Tco_003154
S	Tco_003156
S	Tco_003163
K	Tco_003164
U	Tco_003165
S	Tco_003166
S	Tco_003168
U	Tco_003169
K	Tco_003170
B	Tco_003172
I	Tco_003174
I	Tco_003175
I	Tco_003178
S	Tco_003181
S	Tco_003182
B	Tco_003183
G	Tco_003184
G	Tco_003186
G	Tco_003187
G	Tco_003188
G	Tco_003189
O	Tco_003190
GM	Tco_003191
GM	Tco_003192
GM	Tco_003193
M	Tco_003195
S	Tco_003197
S	Tco_003198
T	Tco_003199
O	Tco_003201
O	Tco_003202
O	Tco_003203
S	Tco_003204
S	Tco_003205
T	Tco_003206
L	Tco_003216
O	Tco_003218
O	Tco_003230
T	Tco_003233
T	Tco_003234
Z	Tco_003235
S	Tco_003240
S	Tco_003242
S	Tco_003244
S	Tco_003250
Q	Tco_003255
E	Tco_003257
E	Tco_003258
O	Tco_003259
T	Tco_003260
S	Tco_003261
O	Tco_003264
O	Tco_003271
O	Tco_003272
T	Tco_003274
BD	Tco_003277
K	Tco_003281
S	Tco_003283
L	Tco_003284
A	Tco_003285
O	Tco_003287
O	Tco_003290
M	Tco_003291
T	Tco_003292
U	Tco_003293
J	Tco_003294
I	Tco_003295
I	Tco_003298
K	Tco_003299
O	Tco_003303
O	Tco_003305
O	Tco_003309
T	Tco_003311
L	Tco_003325
S	Tco_003328
K	Tco_003339
I	Tco_003340
I	Tco_003342
TV	Tco_003360
T	Tco_003361
I	Tco_003368
TZ	Tco_003369
S	Tco_003370
G	Tco_003371
S	Tco_003378
EPT	Tco_003380
P	Tco_003383
S	Tco_003384
Z	Tco_003385
S	Tco_003402
T	Tco_003406
S	Tco_003407
TZ	Tco_003408
S	Tco_003412
J	Tco_003414
I	Tco_003415
J	Tco_003416
F	Tco_003418
Z	Tco_003421
G	Tco_003422
L	Tco_003423
A	Tco_003424
A	Tco_003425
BD	Tco_003429
S	Tco_003433
O	Tco_003436
S	Tco_003438
DO	Tco_003439
KOT	Tco_003440
PT	Tco_003441
S	Tco_003443
L	Tco_003447
S	Tco_003451
TV	Tco_003455
S	Tco_003461
S	Tco_003463
TV	Tco_003468
S	Tco_003469
Q	Tco_003470
Q	Tco_003471
S	Tco_003474
S	Tco_003475
S	Tco_003476
S	Tco_003479
S	Tco_003481
S	Tco_003483
K	Tco_003484
S	Tco_003487
S	Tco_003488
AD	Tco_003489
S	Tco_003491
Q	Tco_003492
S	Tco_003494
S	Tco_003497
Q	Tco_003503
S	Tco_003504
S	Tco_003507
Q	Tco_003518
Q	Tco_003521
Q	Tco_003522
Q	Tco_003523
Q	Tco_003524
Q	Tco_003525
Q	Tco_003526
Q	Tco_003528
Q	Tco_003529
Q	Tco_003530
Q	Tco_003531
Q	Tco_003532
Q	Tco_003534
S	Tco_003537
S	Tco_003539
S	Tco_003542
BDT	Tco_003544
T	Tco_003550
U	Tco_003551
KL	Tco_003553
U	Tco_003554
TUZ	Tco_003556
S	Tco_003557
L	Tco_003558
KOT	Tco_003559
K	Tco_003561
S	Tco_003562
S	Tco_003563
F	Tco_003565
S	Tco_003566
O	Tco_003567
I	Tco_003579
I	Tco_003580
I	Tco_003581
L	Tco_003584
K	Tco_003586
I	Tco_003587
I	Tco_003593
I	Tco_003594
K	Tco_003595
S	Tco_003597
S	Tco_003599
S	Tco_003600
L	Tco_003602
L	Tco_003603
D	Tco_003604
UY	Tco_003608
O	Tco_003609
A	Tco_003610
I	Tco_003612
J	Tco_003613
U	Tco_003619
G	Tco_003620
S	Tco_003634
U	Tco_003639
C	Tco_003643
S	Tco_003646
S	Tco_003649
S	Tco_003650
BD	Tco_003653
S	Tco_003655
L	Tco_003656
S	Tco_003657
L	Tco_003658
S	Tco_003659
TW	Tco_003660
P	Tco_003662
L	Tco_003665
K	Tco_003668
P	Tco_003672
T	Tco_003673
S	Tco_003677
S	Tco_003679
P	Tco_003681
Z	Tco_003684
T	Tco_003685
T	Tco_003691
U	Tco_003693
Z	Tco_003694
EJ	Tco_003695
O	Tco_003696
L	Tco_003699
T	Tco_003702
S	Tco_003703
E	Tco_003705
P	Tco_003711
T	Tco_003713
TU	Tco_003715
U	Tco_003716
O	Tco_003717
K	Tco_003718
TU	Tco_003719
S	Tco_003720
F	Tco_003722
GO	Tco_003723
Z	Tco_003724
U	Tco_003725
T	Tco_003726
E	Tco_003727
DK	Tco_003728
S	Tco_003729
C	Tco_003732
G	Tco_003734
S	Tco_003735
S	Tco_003736
D	Tco_003737
Q	Tco_003738
GMW	Tco_003740
Z	Tco_003741
A	Tco_003742
J	Tco_003743
K	Tco_003744
C	Tco_003745
I	Tco_003746
U	Tco_003747
K	Tco_003749
Z	Tco_003750
J	Tco_003751
O	Tco_003752
E	Tco_003753
TU	Tco_003754
S	Tco_003755
S	Tco_003756
D	Tco_003757
S	Tco_003758
DO	Tco_003759
Z	Tco_003760
A	Tco_003761
S	Tco_003762
L	Tco_003763
I	Tco_003764
I	Tco_003765
C	Tco_003766
S	Tco_003767
E	Tco_003768
O	Tco_003770
E	Tco_003771
S	Tco_003772
T	Tco_003773
L	Tco_003774
K	Tco_003775
G	Tco_003776
O	Tco_003777
T	Tco_003778
I	Tco_003779
U	Tco_003780
S	Tco_003781
P	Tco_003785
S	Tco_003786
U	Tco_003787
A	Tco_003788
K	Tco_003789
L	Tco_003790
K	Tco_003791
K	Tco_003793
K	Tco_003795
O	Tco_003797
P	Tco_003798
B	Tco_003804
T	Tco_003805
S	Tco_003808
S	Tco_003809
S	Tco_003811
S	Tco_003813
S	Tco_003816
S	Tco_003817
Z	Tco_003818
U	Tco_003819
K	Tco_003820
C	Tco_003821
C	Tco_003823
P	Tco_003825
P	Tco_003827
P	Tco_003829
C	Tco_003832
S	Tco_003833
I	Tco_003834
S	Tco_003843
S	Tco_003844
T	Tco_003845
T	Tco_003846
J	Tco_003848
J	Tco_003849
DZ	Tco_003851
C	Tco_003852
U	Tco_003854
TU	Tco_003855
S	Tco_003856
S	Tco_003857
T	Tco_003858
C	Tco_003860
C	Tco_003861
Z	Tco_003864
Q	Tco_003865
I	Tco_003867
EPT	Tco_003869
P	Tco_003870
S	Tco_003871
T	Tco_003872
S	Tco_003875
TU	Tco_003878
P	Tco_003879
S	Tco_003887
S	Tco_003889
S	Tco_003890
O	Tco_003891
S	Tco_003894
K	Tco_003895
T	Tco_003896
W	Tco_003898
S	Tco_003899
S	Tco_003900
S	Tco_003901
S	Tco_003902
F	Tco_003903
Z	Tco_003904
T	Tco_003905
O	Tco_003908
S	Tco_003909
G	Tco_003911
K	Tco_003914
K	Tco_003915
K	Tco_003916
K	Tco_003917
T	Tco_003918
B	Tco_003920
P	Tco_003921
T	Tco_003922
T	Tco_003924
P	Tco_003925
T	Tco_003926
P	Tco_003928
T	Tco_003930
T	Tco_003931
T	Tco_003932
P	Tco_003933
T	Tco_003934
P	Tco_003936
P	Tco_003940
O	Tco_003943
O	Tco_003944
Q	Tco_003945
Q	Tco_003946
Q	Tco_003948
S	Tco_003949
S	Tco_003952
S	Tco_003953
J	Tco_003954
P	Tco_003956
T	Tco_003957
T	Tco_003958
G	Tco_003961
Z	Tco_003962
T	Tco_003964
T	Tco_003965
C	Tco_003968
S	Tco_003969
S	Tco_003970
T	Tco_003971
E	Tco_003972
E	Tco_003973
O	Tco_003975
E	Tco_003976
A	Tco_003977
T	Tco_003980
I	Tco_003981
I	Tco_003982
I	Tco_003983
I	Tco_003985
I	Tco_003986
I	Tco_003987
I	Tco_003989
I	Tco_003990
I	Tco_003991
I	Tco_003992
I	Tco_003993
I	Tco_003994
I	Tco_003995
I	Tco_003996
I	Tco_003997
I	Tco_003998
I	Tco_003999
I	Tco_004000
I	Tco_004001
I	Tco_004002
I	Tco_004003
I	Tco_004004
S	Tco_004005
J	Tco_004006
TZ	Tco_004008
A	Tco_004009
K	Tco_004010
T	Tco_004013
EPT	Tco_004014
EPT	Tco_004016
S	Tco_004017
S	Tco_004020
S	Tco_004021
C	Tco_004026
O	Tco_004027
S	Tco_004028
T	Tco_004029
S	Tco_004030
G	Tco_004032
I	Tco_004033
V	Tco_004035
T	Tco_004037
S	Tco_004038
S	Tco_004039
T	Tco_004041
S	Tco_004042
A	Tco_004043
J	Tco_004044
GT	Tco_004045
U	Tco_004046
DK	Tco_004047
G	Tco_004049
S	Tco_004050
S	Tco_004051
D	Tco_004053
S	Tco_004054
U	Tco_004055
S	Tco_004056
S	Tco_004058
T	Tco_004059
C	Tco_004062
P	Tco_004063
AD	Tco_004064
F	Tco_004065
A	Tco_004066
A	Tco_004067
A	Tco_004073
U	Tco_004074
S	Tco_004075
J	Tco_004076
Z	Tco_004079
S	Tco_004081
S	Tco_004085
P	Tco_004092
C	Tco_004093
S	Tco_004094
F	Tco_004095
D	Tco_004096
S	Tco_004097
S	Tco_004098
T	Tco_004102
S	Tco_004106
O	Tco_004107
O	Tco_004108
D	Tco_004109
S	Tco_004110
ATY	Tco_004111
A	Tco_004112
O	Tco_004118
C	Tco_004119
OT	Tco_004120
E	Tco_004122
U	Tco_004123
S	Tco_004124
S	Tco_004125
S	Tco_004126
T	Tco_004135
KLO	Tco_004137
C	Tco_004139
A	Tco_004140
S	Tco_004141
TU	Tco_004143
E	Tco_004150
G	Tco_004151
S	Tco_004152
G	Tco_004155
F	Tco_004157
S	Tco_004158
S	Tco_004159
J	Tco_004163
G	Tco_004172
G	Tco_004173
L	Tco_004176
L	Tco_004177
L	Tco_004179
L	Tco_004180
O	Tco_004182
O	Tco_004183
O	Tco_004184
G	Tco_004186
S	Tco_004187
O	Tco_004189
O	Tco_004192
L	Tco_004193
S	Tco_004194
G	Tco_004195
Q	Tco_004197
E	Tco_004198
Q	Tco_004199
S	Tco_004200
Q	Tco_004201
S	Tco_004202
C	Tco_004203
U	Tco_004205
W	Tco_004206
Q	Tco_004207
Q	Tco_004208
T	Tco_004209
J	Tco_004210
F	Tco_004213
S	Tco_004214
K	Tco_004215
K	Tco_004216
T	Tco_004219
I	Tco_004220
S	Tco_004221
S	Tco_004222
K	Tco_004224
P	Tco_004225
Z	Tco_004227
Z	Tco_004228
K	Tco_004231
K	Tco_004234
P	Tco_004237
S	Tco_004240
S	Tco_004243
O	Tco_004244
S	Tco_004245
S	Tco_004249
UY	Tco_004255
S	Tco_004256
S	Tco_004261
S	Tco_004263
S	Tco_004270
V	Tco_004271
T	Tco_004272
S	Tco_004275
P	Tco_004276
P	Tco_004277
G	Tco_004278
Z	Tco_004283
TZ	Tco_004284
T	Tco_004286
T	Tco_004290
T	Tco_004292
T	Tco_004293
S	Tco_004294
S	Tco_004295
I	Tco_004299
S	Tco_004301
T	Tco_004302
T	Tco_004303
T	Tco_004304
T	Tco_004305
D	Tco_004306
S	Tco_004307
P	Tco_004319
P	Tco_004321
U	Tco_004325
K	Tco_004326
G	Tco_004328
G	Tco_004329
G	Tco_004330
G	Tco_004331
G	Tco_004332
G	Tco_004333
O	Tco_004335
S	Tco_004337
T	Tco_004338
T	Tco_004340
S	Tco_004341
F	Tco_004343
J	Tco_004345
S	Tco_004350
S	Tco_004351
K	Tco_004353
G	Tco_004354
G	Tco_004355
G	Tco_004356
E	Tco_004358
UY	Tco_004360
S	Tco_004361
P	Tco_004362
E	Tco_004363
K	Tco_004367
G	Tco_004369
G	Tco_004370
G	Tco_004371
G	Tco_004372
G	Tco_004373
G	Tco_004374
G	Tco_004375
G	Tco_004376
G	Tco_004377
G	Tco_004378
L	Tco_004379
L	Tco_004380
L	Tco_004381
L	Tco_004382
L	Tco_004383
L	Tco_004384
K	Tco_004385
E	Tco_004386
L	Tco_004389
L	Tco_004390
E	Tco_004391
L	Tco_004395
T	Tco_004396
K	Tco_004397
K	Tco_004398
S	Tco_004399
U	Tco_004400
S	Tco_004401
S	Tco_004403
A	Tco_004404
A	Tco_004405
S	Tco_004406
K	Tco_004407
O	Tco_004410
I	Tco_004411
K	Tco_004412
Q	Tco_004413
T	Tco_004414
S	Tco_004415
S	Tco_004419
S	Tco_004420
Q	Tco_004421
GOT	Tco_004422
GOT	Tco_004424
J	Tco_004426
S	Tco_004427
S	Tco_004428
P	Tco_004430
S	Tco_004431
D	Tco_004434
O	Tco_004435
O	Tco_004436
O	Tco_004437
O	Tco_004438
D	Tco_004442
P	Tco_004444
S	Tco_004446
P	Tco_004448
L	Tco_004450
L	Tco_004451
BD	Tco_004455
O	Tco_004456
T	Tco_004459
S	Tco_004460
O	Tco_004461
T	Tco_004462
E	Tco_004463
L	Tco_004464
E	Tco_004466
O	Tco_004468
S	Tco_004469
G	Tco_004471
G	Tco_004472
S	Tco_004473
S	Tco_004474
S	Tco_004475
S	Tco_004478
T	Tco_004479
Q	Tco_004481
Q	Tco_004483
E	Tco_004487
S	Tco_004488
G	Tco_004490
S	Tco_004492
L	Tco_004493
S	Tco_004495
K	Tco_004497
S	Tco_004502
F	Tco_004512
S	Tco_004514
S	Tco_004519
T	Tco_004520
O	Tco_004521
O	Tco_004522
U	Tco_004527
Q	Tco_004530
Q	Tco_004534
I	Tco_004538
T	Tco_004539
K	Tco_004546
K	Tco_004548
I	Tco_004550
U	Tco_004555
L	Tco_004556
K	Tco_004557
O	Tco_004558
S	Tco_004560
U	Tco_004562
U	Tco_004563
U	Tco_004564
S	Tco_004565
U	Tco_004566
U	Tco_004567
T	Tco_004572
U	Tco_004573
S	Tco_004581
G	Tco_004583
B	Tco_004586
I	Tco_004592
L	Tco_004593
I	Tco_004599
L	Tco_004607
I	Tco_004609
I	Tco_004613
I	Tco_004617
I	Tco_004618
I	Tco_004619
I	Tco_004622
I	Tco_004624
L	Tco_004625
S	Tco_004628
S	Tco_004632
T	Tco_004634
K	Tco_004637
S	Tco_004638
S	Tco_004640
L	Tco_004642
G	Tco_004651
I	Tco_004659
G	Tco_004659
DT	Tco_004668
J	Tco_004669
L	Tco_004670
S	Tco_004673
K	Tco_004674
U	Tco_004675
K	Tco_004679
T	Tco_004684
G	Tco_004687
J	Tco_004688
Q	Tco_004690
Q	Tco_004691
I	Tco_004693
I	Tco_004695
L	Tco_004705
L	Tco_004706
S	Tco_004707
T	Tco_004710
S	Tco_004728
H	Tco_004731
G	Tco_004736
Q	Tco_004739
C	Tco_004749
U	Tco_004768
E	Tco_004771
K	Tco_004795
M	Tco_004796
C	Tco_004798
S	Tco_004810
K	Tco_004811
K	Tco_004812
G	Tco_004820
S	Tco_004821
T	Tco_004822
G	Tco_004830
S	Tco_004834
U	Tco_004840
L	Tco_004841
S	Tco_004846
T	Tco_004848
EPT	Tco_004851
P	Tco_004852
P	Tco_004853
P	Tco_004854
K	Tco_004856
S	Tco_004857
F	Tco_004858
L	Tco_004859
T	Tco_004860
I	Tco_004864
I	Tco_004865
I	Tco_004867
I	Tco_004868
EPT	Tco_004870
P	Tco_004871
D	Tco_004872
P	Tco_004873
P	Tco_004874
P	Tco_004875
T	Tco_004881
G	Tco_004883
K	Tco_004884
MW	Tco_004886
J	Tco_004889
K	Tco_004890
S	Tco_004891
S	Tco_004892
S	Tco_004893
T	Tco_004894
A	Tco_004895
F	Tco_004896
S	Tco_004899
O	Tco_004902
C	Tco_004903
Q	Tco_004905
Q	Tco_004906
T	Tco_004910
S	Tco_004912
O	Tco_004914
E	Tco_004915
L	Tco_004916
W	Tco_004917
O	Tco_004918
P	Tco_004919
Z	Tco_004920
OU	Tco_004921
T	Tco_004922
P	Tco_004924
T	Tco_004929
U	Tco_004941
JUY	Tco_004943
J	Tco_004944
E	Tco_004945
C	Tco_004947
Z	Tco_004948
K	Tco_004950
T	Tco_004955
Q	Tco_004956
S	Tco_004957
ET	Tco_004959
O	Tco_004960
L	Tco_004961
K	Tco_004962
P	Tco_004963
P	Tco_004964
D	Tco_004965
S	Tco_004966
B	Tco_004967
O	Tco_004968
G	Tco_004969
G	Tco_004970
G	Tco_004972
U	Tco_004977
S	Tco_004978
C	Tco_004980
UZ	Tco_004981
S	Tco_004982
S	Tco_004983
T	Tco_004986
U	Tco_004997
S	Tco_004998
IT	Tco_005003
B	Tco_005004
C	Tco_005005
T	Tco_005007
G	Tco_005008
S	Tco_005009
L	Tco_005010
S	Tco_005011
L	Tco_005013
T	Tco_005014
S	Tco_005015
S	Tco_005016
T	Tco_005017
S	Tco_005021
T	Tco_005022
T	Tco_005024
T	Tco_005025
T	Tco_005026
EG	Tco_005027
DT	Tco_005028
P	Tco_005029
T	Tco_005030
U	Tco_005032
T	Tco_005033
J	Tco_005034
W	Tco_005035
W	Tco_005036
O	Tco_005038
O	Tco_005039
K	Tco_005040
O	Tco_005041
S	Tco_005042
O	Tco_005043
O	Tco_005044
S	Tco_005046
O	Tco_005047
EPT	Tco_005048
S	Tco_005049
P	Tco_005050
P	Tco_005051
DP	Tco_005052
D	Tco_005053
H	Tco_005054
O	Tco_005055
S	Tco_005056
E	Tco_005058
T	Tco_005059
K	Tco_005061
S	Tco_005062
S	Tco_005063
G	Tco_005064
E	Tco_005065
K	Tco_005066
A	Tco_005067
K	Tco_005068
S	Tco_005069
S	Tco_005070
I	Tco_005071
TZ	Tco_005077
TZ	Tco_005079
TZ	Tco_005081
S	Tco_005082
T	Tco_005086
S	Tco_005091
EG	Tco_005092
T	Tco_005093
T	Tco_005094
O	Tco_005095
G	Tco_005096
T	Tco_005096
T	Tco_005097
B	Tco_005098
G	Tco_005102
U	Tco_005103
T	Tco_005104
P	Tco_005106
E	Tco_005107
O	Tco_005110
BL	Tco_005112
Z	Tco_005118
Z	Tco_005119
G	Tco_005120
ABO	Tco_005121
E	Tco_005122
BK	Tco_005123
UY	Tco_005124
K	Tco_005125
S	Tco_005128
A	Tco_005137
S	Tco_005138
S	Tco_005139
G	Tco_005140
P	Tco_005141
I	Tco_005142
S	Tco_005143
A	Tco_005145
A	Tco_005156
E	Tco_005158
S	Tco_005159
P	Tco_005160
S	Tco_005161
V	Tco_005162
S	Tco_005163
A	Tco_005167
J	Tco_005168
P	Tco_005169
P	Tco_005172
S	Tco_005173
G	Tco_005177
G	Tco_005178
S	Tco_005179
S	Tco_005180
S	Tco_005181
S	Tco_005182
S	Tco_005183
S	Tco_005184
S	Tco_005185
E	Tco_005186
S	Tco_005192
S	Tco_005193
S	Tco_005194
S	Tco_005195
S	Tco_005196
S	Tco_005197
S	Tco_005198
S	Tco_005199
S	Tco_005200
E	Tco_005201
S	Tco_005202
K	Tco_005204
K	Tco_005205
S	Tco_005206
C	Tco_005220
S	Tco_005221
S	Tco_005223
S	Tco_005224
S	Tco_005225
S	Tco_005226
B	Tco_005229
U	Tco_005230
C	Tco_005231
S	Tco_005243
S	Tco_005246
DO	Tco_005252
A	Tco_005253
P	Tco_005254
P	Tco_005255
M	Tco_005256
S	Tco_005257
U	Tco_005259
Q	Tco_005260
T	Tco_005261
Z	Tco_005262
S	Tco_005263
TZ	Tco_005265
Z	Tco_005269
S	Tco_005272
U	Tco_005273
S	Tco_005275
H	Tco_005276
BD	Tco_005278
S	Tco_005280
S	Tco_005282
S	Tco_005283
S	Tco_005285
J	Tco_005289
S	Tco_005290
O	Tco_005295
O	Tco_005296
G	Tco_005298
P	Tco_005299
Z	Tco_005300
J	Tco_005301
T	Tco_005303
E	Tco_005305
U	Tco_005306
EO	Tco_005308
EO	Tco_005309
B	Tco_005313
S	Tco_005314
K	Tco_005322
KOT	Tco_005324
P	Tco_005325
S	Tco_005326
J	Tco_005328
A	Tco_005329
S	Tco_005331
S	Tco_005332
U	Tco_005333
D	Tco_005334
A	Tco_005335
O	Tco_005336
L	Tco_005337
T	Tco_005338
S	Tco_005341
TZ	Tco_005342
K	Tco_005343
E	Tco_005344
K	Tco_005346
S	Tco_005347
Z	Tco_005348
K	Tco_005350
E	Tco_005351
S	Tco_005352
B	Tco_005353
S	Tco_005354
K	Tco_005357
S	Tco_005358
U	Tco_005359
S	Tco_005360
H	Tco_005361
T	Tco_005362
P	Tco_005364
T	Tco_005368
K	Tco_005375
S	Tco_005376
J	Tco_005377
O	Tco_005378
O	Tco_005379
Z	Tco_005380
A	Tco_005381
S	Tco_005382
A	Tco_005383
S	Tco_005384
P	Tco_005385
S	Tco_005386
T	Tco_005387
MU	Tco_005389
T	Tco_005390
S	Tco_005391
S	Tco_005392
T	Tco_005393
S	Tco_005394
S	Tco_005395
K	Tco_005396
O	Tco_005398
Z	Tco_005399
K	Tco_005403
K	Tco_005406
BT	Tco_005407
Z	Tco_005408
K	Tco_005410
MW	Tco_005413
T	Tco_005414
