Genes	Preferred_name	Description
Tco_006192	TGS1	trimethylguanosine synthase
Tco_006193		It is involved in the biological process described with
Tco_006194	wal	Electron
Tco_006201		Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
Tco_006203	ADAMTS12	negative regulation of cellular response to hepatocyte growth factor stimulus
Tco_006203		It is involved in the biological process described with proteolysis
Tco_006204	lin	Lines C-terminus
Tco_006205		domain-containing protein
Tco_006207	Rbcn-3A	RAVE protein 1 C terminal
Tco_006208		NICE-3 protein
Tco_006209	FAM174A	Family with sequence similarity 174, member A
Tco_006210		Thioredoxin-like domain
Tco_006211		Uncharacterized conserved protein
Tco_006212		sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_006214	RGMB	coreceptor activity
Tco_006215		Repulsive guidance molecule (RGM) C-terminus
Tco_006218	Fur2	Growth factor receptor domain IV
Tco_006220		Ribosomal protein S36, mitochondrial
Tco_006221	Fur2	Belongs to the peptidase S8 family
Tco_006222	rump	nucleic acid binding
Tco_006223	Aldh	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor. It is involved in the biological process described with oxidation-reduction process
Tco_006224		Zinc ion binding
Tco_006225	Jtb	Jumping translocation breakpoint protein (JTB)
Tco_006226	amx	TM2 domain-containing protein
Tco_006227		Pyroglutamyl-peptidase activity. It is involved in the biological process described with proteolysis
Tco_006228		Oxidoreductase activity. It is involved in the biological process described with metabolic process
Tco_006229	ssp3	cyclin A-associated protein in the
Tco_006230	SCAPER	cyclin A-associated protein in the
Tco_006232	SCAPER	S phase cyclin A-associated protein in the endoplasmic reticulum
Tco_006233		binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_006235	C3orf38	Chromosome 3 open reading frame 38
Tco_006236	TUBGCP4	microtubule nucleation by interphase microtubule organizing center
Tco_006236	TUBGCP4	Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome
Tco_006238	Ncc69	Cation chloride symporter activity. It is involved in the biological process described with ion transport
Tco_006239	Ncc69	Cation chloride symporter activity. It is involved in the biological process described with ion transport
Tco_006240	Ncc69	Cation chloride symporter activity. It is involved in the biological process described with ion transport
Tco_006241	Ncc69	Cation chloride symporter activity. It is involved in the biological process described with ion transport
Tco_006242	Atp5a1	Produces ATP from ADP in the presence of a proton gradient across the membrane
Tco_006243	Sirt6	nad binding
Tco_006245	l(2)k09913	Eukaryotic protein of unknown function (DUF829)
Tco_006246		Kelch-like ECH-associated protein
Tco_006247	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006249	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006250	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006252	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006253	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006254	Akhr	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_006256	Ndufs4	Oxidoreductase activity, acting on NAD(P)H. It is involved in the biological process described with electron transport chain
Tco_006265	Sema-1a	Belongs to the semaphorin family
Tco_006266		Golgi phosphoprotein
Tco_006269	kon	Chondroitin sulfate proteoglycan
Tco_006270	Gbeta5	WD domain, G-beta repeat
Tco_006271	Bsg	Immunoglobulin
Tco_006272	cactin	Cactus-binding C-terminus of cactin protein
Tco_006273	COMMD10	COMM domain-containing protein 10
Tco_006274		cAMP response element binding protein binding. It is involved in the biological process described with
Tco_006275		cAMP response element binding protein binding. It is involved in the biological process described with
Tco_006276		Heat shock chaperonin-binding motif.
Tco_006277	RpL17	Belongs to the universal ribosomal protein uL22 family
Tco_006278	Fur2	Belongs to the peptidase S8 family
Tco_006278		Calcium-activated chloride channel
Tco_006280		DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_006281		mitochondrial RNA processing
Tco_006283	Dsor1	It is involved in the biological process described with protein phosphorylation
Tco_006284		Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Tco_006285	endoA	Bin/amphiphysin/Rvs domain for vesicular trafficking
Tco_006285	endoA	It is involved in the biological process described with endocytosis
Tco_006286		Cytochrome P-450
Tco_006288		Cytochrome P-450
Tco_006289		Cytochrome P-450
Tco_006291	MED4	RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter
Tco_006292	EIF4E2	translation initiation factor activity
Tco_006293		G protein-coupled glucose receptor regulating Gpa2 C-term
Tco_006299		amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport
Tco_006300	SLC7A14	amino acid transport
Tco_006301		amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport
Tco_006302	AP-50	Belongs to the adaptor complexes medium subunit family
Tco_006304	RpL22	Structural constituent of ribosome. It is involved in the biological process described with
Tco_006305		Racemase and epimerase activity, acting on carbohydrates and derivatives. It is involved in the biological process described with glycosaminoglycan biosynthetic process
Tco_006307		Centrosomal protein
Tco_006307	CEP104	Centrosomal protein
Tco_006308	WNT4	Ligand for members of the frizzled family of seven transmembrane receptors
Tco_006317		Ricin-type beta-trefoil lectin domain-like
Tco_006318		Ricin-type beta-trefoil lectin domain-like
Tco_006319		Ricin-type beta-trefoil lectin domain-like
Tco_006323		Ricin-type beta-trefoil lectin domain-like
Tco_006324		Ricin-type beta-trefoil lectin domain-like
Tco_006330		Sodium/hydrogen exchanger family
Tco_006335		Orange domain
Tco_006336	HES4	Transcription factor
Tco_006337	Nep2	metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006337	Nep2	Endothelin-converting enzyme
Tco_006338	AMY2A	pancreatic
Tco_006338	Amyrel	activity. It is involved in the biological process described with carbohydrate metabolic process
Tco_006339	AMY2A	pancreatic
Tco_006341	GABARAP	cellular response to nitrogen levels
Tco_006342	elgi	It is involved in the biological process described with protein ubiquitination
Tco_006344		It is involved in the biological process described with mRNA
Tco_006345	PIGA	phosphatidylinositol N-acetylglucosaminyltransferase activity
Tco_006349		Kelch motif
Tco_006350	CCDC115	Coiled-coil domain-containing protein 115
Tco_006351		Ras family
Tco_006352		Guanine nucleotide-binding protein
Tco_006353		Guanine nucleotide-binding protein
Tco_006354		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors. It is involved in the biological process described with oxidation-reduction process
Tco_006355		Belongs to the ubiquitin-conjugating enzyme family
Tco_006356		Ubiquitin-conjugating enzyme E2, catalytic domain homologues
Tco_006357	B3GALT6	galactosylxylosylprotein 3-beta-galactosyltransferase activity
Tco_006358	Mlf	Myeloid leukemia
Tco_006362		WD40 repeats
Tco_006363	Ssu72	Phosphoprotein phosphatase activity. It is involved in the biological process described with mRNA processing
Tco_006364		GTP binding
Tco_006365	GART	phosphoribosylamine-glycine ligase activity
Tco_006366		Serine threonine-protein phosphatase 6 regulatory subunit
Tco_006367	ALG9	Alg9-like mannosyltransferase family
Tco_006368	FLO8	WD repeat-containing protein
Tco_006369	AMBRA1	Activating molecule in BECN1-regulated autophagy protein
Tco_006370		Belongs to the FGGY kinase family
Tco_006371	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006372	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006373	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006374	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006375	Cht4	It is involved in the biological process described with carbohydrate metabolic process
Tco_006376		Belongs to the universal ribosomal protein uS19 family
Tco_006377	MSTO1	Misato 1, mitochondrial distribution and morphology regulator
Tco_006382		Protein tyrosine phosphatase, catalytic domain
Tco_006383		Belongs to the PI3 PI4-kinase family
Tco_006384	PMF1	leucine zipper domain binding
Tco_006385		Belongs to the PI3 PI4-kinase family
Tco_006386	DNAI1	intermediate chain 1
Tco_006387	FAM219A	Protein family FAM219A
Tco_006388	CCNB2	histone H3-S10 phosphorylation involved in chromosome condensation
Tco_006390		Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Tco_006392		Hyperpolarization activated cyclic nucleotide-gated potassium channel
Tco_006393		ARF7 effector protein C-terminus
Tco_006394		ZIP Zinc transporter
Tco_006395		Kazal-type serine protease inhibitor domain
Tco_006397		nucleic acid binding
Tco_006399		Zinc ion binding
Tco_006400		Death domain
Tco_006402		Death domain
Tco_006405	RYK	chemorepulsion of axon
Tco_006412		It is involved in the biological process described with mRNA splicing, via spliceosome
Tco_006413	GckIII	ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_006414	GckIII	ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_006415	eIF-4a	Belongs to the DEAD box helicase family
Tco_006417	drongo	ARF GTPase activator activity. It is involved in the biological process described with regulation of ARF GTPase activity
Tco_006418		Histone deacetylase complex subunit SAP130 C-terminus
Tco_006419	RYK	chemorepulsion of axon
Tco_006420	GSR	glutathione-disulfide reductase activity
Tco_006421		Zinc ion binding. It is involved in the biological process described with intracellular transport
Tco_006422		phosphatase activity. It is involved in the biological process described with metabolic process
Tco_006424	MTHFS	5-formyltetrahydrofolate cyclo-ligase activity
Tco_006425	GKAP1	G kinase anchoring protein 1
Tco_006427		signaling receptor binding
Tco_006428		Chondroitin N-acetylgalactosaminyltransferase
Tco_006432		Zinc ion binding
Tco_006435	COG1	oligomeric golgi complex
Tco_006435	COG1	Component of oligomeric golgi complex 1
Tco_006436		Matrix AAA peptidase interacting protein 1
Tco_006437		May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning
Tco_006438		ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial DNA in a site-specific manner
Tco_006439	LONP1	ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial DNA in a site-specific manner
Tco_006446		Insect pheromone-binding family, A10/OS-D
Tco_006449	Syt4	activity. It is involved in the biological process described with
Tco_006450		Phosphatidylinositol binding
Tco_006451		activity. It is involved in the biological process described with oxidation-reduction process
Tco_006452	BHMT	betaine-homocysteine S-methyltransferase activity
Tco_006454	endoA	It is involved in the biological process described with endocytosis
Tco_006455	DET1	protein binding, bridging involved in substrate recognition for ubiquitination
Tco_006458		Transposase IS4
Tco_006459		nuclease activity
Tco_006461	PDE8A	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase
Tco_006463		Neurotransmitter-gated ion-channel transmembrane region
Tco_006464		Diacylglycerol kinase
Tco_006466		Neurotransmitter-gated ion-channel transmembrane region
Tco_006467		It is involved in the biological process described with protein folding
Tco_006468	SNUPN	snRNA import into nucleus
Tco_006492		Guanine nucleotide exchange factor for Ras-like small GTPases
Tco_006495		guanine nucleotide-releasing factor
Tco_006496	TAF1C	factor RNA polymerase I
Tco_006498		OTU-like cysteine protease
Tco_006499	MLLT1	chromatin organization
Tco_006500	mRpS30	Mitochondrial ribosomal protein, S30
Tco_006501	FBXW2	F-box WD repeat-containing protein 2
Tco_006502	PMVK	phosphomevalonate kinase activity
Tco_006503	YTHDC2	helicase activity
Tco_006504	VPS45	vesicle docking involved in exocytosis
Tco_006505	SMC5	AAA domain
Tco_006508		ubiquitin modification-dependent histone binding
Tco_006509		Phosphotyrosine-binding domain, phosphotyrosine-interaction (PI) domain
Tco_006510		DUF167
Tco_006511	NUDT2	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
Tco_006513		intracellular chloride channel activity
Tco_006514		intracellular chloride channel activity
Tco_006515		intracellular chloride channel activity
Tco_006517		Leucine rich repeat C-terminal domain
Tco_006519	para	Mediates the voltage-dependent sodium ion permeability of excitable membranes
Tco_006523	ADAMTSL5	UNC-6/NTR/C345C module
Tco_006525	SERINC5	Serine incorporator 5
Tco_006526	Csk	ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_006527	NTRK2	brain-derived neurotrophic factor-activated receptor activity
Tco_006529	RpS6	Belongs to the eukaryotic ribosomal protein eS6 family
Tco_006530		phosphatidylinositol-3,4,5-trisphosphate binding
Tco_006531	FEM1C	Fem-1 homolog
Tco_006532		Arrestin domain-containing protein
Tco_006533	murQ	Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6- phosphate and D-lactate
Tco_006535		BCL (B-Cell lymphoma); contains BH1, BH2 regions
Tco_006536		von Willebrand factor type A domain
Tco_006538		Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Tco_006539	hop	ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_006540		Occludin homology domain
Tco_006541		protein modification by small protein conjugation
Tco_006542	PDCD7	programmed cell death
Tco_006543	PTAR1	protein prenylation
Tco_006544		Metal ion binding
Tco_006545		Uncharacterised protein family UPF0066
Tco_006546		ZIP Zinc transporter
Tco_006547		transferase activity, transferring phosphorus-containing groups
Tco_006548	Vps33B	Belongs to the STXBP unc-18 SEC1 family
Tco_006549	HSD11B1L	Hydroxysteroid (11-beta) dehydrogenase 1-like a
Tco_006551		It is involved in the biological process described with potassium ion transport
Tco_006552		Telomerase activating protein Est1
Tco_006554		Groucho/TLE N-terminal Q-rich domain
Tco_006557		Groucho/TLE N-terminal Q-rich domain
Tco_006558	SLC35A4	pyrimidine nucleotide-sugar transmembrane transporter activity
Tco_006559	ARMC6	Armadillo repeat-containing protein 6
Tco_006560		Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process
Tco_006561	SORD	Sorbitol dehydrogenase
Tco_006564	mRpS11	Ribosomal protein S11
Tco_006565	Chd1	ATP-dependent helicase activity
Tco_006566		AMPA glutamate receptor activity
Tco_006567		Bacterial extracellular solute-binding proteins, family 3
Tco_006568		AMPA glutamate receptor activity
Tco_006569		Mitochondrial 28S ribosomal protein S27
Tco_006570	SKAP2	SH3/SH2 adaptor activity
Tco_006571		Protein tyrosine kinase
Tco_006574	Aats-thr	ATP binding. It is involved in the biological process described with threonyl-tRNA aminoacylation
Tco_006575	HNRNPK	positive regulation of low-density lipoprotein particle receptor biosynthetic process
Tco_006576		snRNA-activating protein complex subunit
Tco_006577	LYSMD3	peptidoglycan-binding domain-containing protein 3
Tco_006578		DNA-directed RNA polymerase III subunit Rpc31
Tco_006579		unfolded protein binding. It is involved in the biological process described with protein folding
Tco_006580		channel activity. It is involved in the biological process described with ion transport
Tco_006581		channel activity. It is involved in the biological process described with ion transport
Tco_006582	MCM9	MCM OB domain
Tco_006583		heterogeneous nuclear ribonucleoprotein
Tco_006584		monooxygenase activity
Tco_006585		aromatase activity
Tco_006586		monooxygenase activity
Tco_006586		Cytochrome P450
Tco_006587	CYP2J2	Belongs to the cytochrome P450 family
Tco_006588		monooxygenase activity
Tco_006589		monooxygenase activity
Tco_006589	Cyp18a1	heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_006591	babo	activity. It is involved in the biological process described with transmembrane receptor protein serine threonine kinase signaling pathway
Tco_006593	babo	activity. It is involved in the biological process described with transmembrane receptor protein serine threonine kinase signaling pathway
Tco_006594		Ankyrin repeats (many copies)
Tco_006596		PH domain associated with Beige/BEACH
Tco_006597	Psa	zinc ion binding. It is involved in the biological process described with proteolysis
Tco_006598	USP37	protein K11-linked deubiquitination
Tco_006599		Metal ion binding
Tco_006600		Collagen alpha 1(xviii) chain
Tco_006601		biological adhesion
Tco_006602		Protein unc-80 homolog
Tco_006603		dnaJ homolog subfamily C member 16-like
Tco_006604		Calcium ion binding
Tco_006605	CCNL1	Belongs to the cyclin family
Tco_006607	NCAPD2	meiotic chromosome condensation
Tco_006609	Eno	Enolase, N-terminal domain
Tco_006610		Putative GTP-ase activating proteins for the small GTPase, ARF
Tco_006613		Alkaline phosphatase
Tco_006614		mRNA, complete cds
Tco_006615		mRNA, complete cds
Tco_006616		mRNA, complete cds
Tco_006617		mRNA, complete cds
Tco_006618		STELLO glycosyltransferases
Tco_006619		mRNA, complete cds
Tco_006620		mRNA, complete cds
Tco_006622		protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_006623		peptidyl-tyrosine sulfation
Tco_006624	LPHN2	Belongs to the G-protein coupled receptor 2 family
Tco_006625		transmembrane transport
Tco_006626		transmembrane transport
Tco_006627		transmembrane transport
Tco_006628	Cog3	It is involved in the biological process described with intracellular protein transport
Tco_006629	PKD2L1	Polycystin 2 like 1, transient receptor potential cation channel
Tco_006630		Double-stranded DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_006631	ECH1	Belongs to the enoyl-CoA hydratase isomerase family
Tco_006632	RDH14	alcohol dehydrogenase (NADP+) activity
Tco_006633		Myb/SANT-like DNA-binding domain
Tco_006635	CEMIP	G8
Tco_006635		hyalurononglucosaminidase activity
Tco_006637		Pfam:L_HGMIC_fpl
Tco_006638	DHRS12	Dehydrogenase reductase SDR family member
Tco_006638	DHRS12	oxidoreductase activity
Tco_006639	SI	sucrose alpha-glucosidase activity
Tco_006640	COG6	intra-Golgi vesicle-mediated transport
Tco_006641		Copper ion binding. It is involved in the biological process described with copper ion transport
Tco_006642	RCC2	chromosome passenger complex localization to kinetochore
Tco_006643		Belongs to the AAA ATPase family
Tco_006644	PLEKHM1	positive regulation of ruffle assembly
Tco_006646	ELP5	Elongator acetyltransferase complex subunit 5
Tco_006646		tRNA wobble uridine modification
Tco_006647		Methylenetetrahydrofolate reductase (NAD(P)H) activity. It is involved in the biological process described with
Tco_006648		DNA-directed RNA polymerase
Tco_006649		Protein of unknown function (DUF1647)
Tco_006650		PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Tco_006651		It is involved in the biological process described with transport
Tco_006654	RERE	Arginine-glutamic acid dipeptide
Tco_006655		Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Tco_006656		Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Tco_006657	DNAH7	heavy chain
Tco_006658		Cysteine/serine-rich nuclear protein N-terminus
Tco_006662		CASC3/Barentsz eIF4AIII binding
Tco_006663	PRIM1	DNA replication initiation
Tco_006665		Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
Tco_006666		binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_006670	Psa	zinc ion binding. It is involved in the biological process described with proteolysis
Tco_006678	DFFB	DNA fragmentation factor
Tco_006679		Mannose-6-phosphate receptor
Tco_006683		Metal ion binding
Tco_006690		regulation of nucleic acid-templated transcription
Tco_006692		NEUZ
Tco_006693		Programmed cell death protein
Tco_006694	SMC2	Structural maintenance of chromosomes protein
Tco_006695	krz	It is involved in the biological process described with signal transduction
Tco_006700		CD63 antigen-like
Tco_006701		Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Tco_006702		metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006703	SLC25A34	Solute carrier family 25 member
Tco_006704		Zinc-binding domain
Tco_006706		Transferrin receptor-like dimerisation domain
Tco_006707	RNF168	histone H2A-K13 ubiquitination
Tco_006708		Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Tco_006712	COMMD2	COMM domain-containing protein 2
Tco_006714		7 transmembrane receptor (rhodopsin family)
Tco_006719	beta-CA	Reversible hydration of carbon dioxide
Tco_006720	SA	STAG domain
Tco_006722	RRNAD1	Ribosomal RNA adenine dimethylase domain containing 1
Tco_006724		WD domain, G-beta repeat
Tco_006725	AQP10	Belongs to the MIP aquaporin (TC 1.A.8) family
Tco_006726	qua	Actin binding. It is involved in the biological process described with cytoskeleton organization
Tco_006727	CalpC	Belongs to the peptidase C2 family
Tco_006728		Domain with 2 conserved Trp (W) residues
Tco_006729	JMJD4	JmjC domain-containing protein 4
Tco_006730		Protein kinase binding. It is involved in the biological process described with regulation of cyclin-dependent protein serine threonine kinase activity
Tco_006731	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
Tco_006732		Cytochrome P450, family 2, subfamily J, polypeptide 2
Tco_006733		Arylsulfatase
Tco_006734		monooxygenase activity
Tco_006735		monooxygenase activity
Tco_006736		arachidonic acid 14,15-epoxygenase activity
Tco_006738		phosphorelay sensor kinase activity. It is involved in the biological process described with
Tco_006744		Transferase activity, transferring hexosyl groups
Tco_006745		ribosomal protein import into nucleus
Tco_006746	Sec61beta	Protein transport protein Sec61 subunit
Tco_006747		Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family
Tco_006748		glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity. It is involved in the biological process described with O-glycan processing
Tco_006749		Trypsin-like serine protease
Tco_006752		serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006753		Belongs to the peptidase S1 family
Tco_006754		Serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006757		Trypsin-like serine protease
Tco_006758		Domain of unknown function (DUF1986)
Tco_006759		Belongs to the peptidase S1 family
Tco_006760		Trypsin-like serine protease
Tco_006761		Trypsin-like serine protease
Tco_006762		Belongs to the peptidase S1 family
Tco_006763	Top2	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Tco_006764	CLIPD2	Domain of unknown function (DUF1986)
Tco_006765		serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006766		serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006767		serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006769	Top2	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Tco_006771		Protein of unknown function (DUF229)
Tco_006772	arm	arm function in wg signal transduction is required early in development for determination of neuroblast fate. Arm and Abl proteins function cooperatively at adherens junctions in both the CNS and epidermis
Tco_006773	arm	arm function in wg signal transduction is required early in development for determination of neuroblast fate. Arm and Abl proteins function cooperatively at adherens junctions in both the CNS and epidermis
Tco_006774	FAM133B	family with sequence similarity 133, member B
Tco_006775	Cdc27	Cell division cycle
Tco_006776	Taf5	It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_006777	Rab5	GTP binding. It is involved in the biological process described with protein transport
Tco_006778		colon epithelial cell migration
Tco_006779		Arylsulfatase
Tco_006780		BLOC-1-related complex sub-unit 7
Tco_006784		Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
Tco_006785		Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
Tco_006789		Animal haem peroxidase
Tco_006791		TLD
Tco_006796	FZD5	Wnt-activated receptor activity
Tco_006798		colon epithelial cell migration
Tco_006799		colon epithelial cell migration
Tco_006800		colon epithelial cell migration
Tco_006800		sulfuric ester hydrolase activity. It is involved in the biological process described with metabolic process
Tco_006801		Tetraspanin family
Tco_006802		brca1 gene 1
Tco_006804		Galactosyltransferase
Tco_006805		Belongs to the MAGUK family
Tco_006806		serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Tco_006807		heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_006808		Calcium ion binding
Tco_006809		Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP
Tco_006813		Sulfotransferase activity
Tco_006814	CHST3	chondroitin 6-sulfotransferase activity
Tco_006815		Sulfotransferase activity
Tco_006816	fab1	Translation initiation factor IF-2, N-terminal region
Tco_006817	GORASP1	Golgi organization
Tco_006818	E75	binding. It is involved in the biological process described with
Tco_006822		Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Tco_006824		Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Tco_006825		FERM adjacent (FA)
Tco_006827		Importin beta-3
Tco_006829		Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Tco_006830	La	nucleotide binding. It is involved in the biological process described with RNA processing
Tco_006833	mtg	Chitin-binding domain type 2
Tco_006835	La	nucleotide binding. It is involved in the biological process described with RNA processing
Tco_006837	mtg	Chitin-binding domain type 2
Tco_006840		CD151 molecule (Raph blood group)
Tco_006841		aromatase activity
Tco_006842		monooxygenase activity
Tco_006843		aromatase activity
Tco_006844		monooxygenase activity
Tco_006849	ADH5	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Tco_006876		Tetraspanin family
Tco_006877		Tetraspanin family
Tco_006878		Tetraspanin family
Tco_006879	ARMC4	Armadillo repeat containing 4
Tco_006880		Tetraspanin family
Tco_006881		Tetraspanin family
Tco_006882		Tetraspanin family
Tco_006883		Tetraspanin family
Tco_006891		2S seed storage protein 5-like
Tco_006896		ATP P2X receptor
Tco_006897		It is involved in the biological process described with transport
Tco_006898	AP-1sigma	Belongs to the adaptor complexes small subunit family
Tco_006899		Metal ion binding
Tco_006900	Taf6	It is involved in the biological process described with regulation of sequence-specific DNA binding transcription factor activity
Tco_006901		INTS6/SAGE1/DDX26B/CT45 C-terminus
Tco_006903		Rab subfamily of small GTPases
Tco_006904	dy	Zona pellucida (ZP) domain
Tco_006905	dyl	Zona pellucida (ZP) domain
Tco_006907	IFT80	Intraflagellar transport protein 80 homolog
Tco_006910	mbl	Metal ion binding
Tco_006911	mbl	Metal ion binding
Tco_006916		regulation of RNA splicing
Tco_006921		thyroid hormone receptor activity
Tco_006922		nucleotide binding. It is involved in the biological process described with RNA processing
Tco_006923	CycC	Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Binds to and activates cyclin-dependent kinase Cdk8 that phosphorylates the CTD (C-terminal domain) of the large subunit of RNA polymerase II (RNAp II), which may inhibit the formation of a transcription initiation complex
Tco_006925		Inorganic anion exchanger activity. It is involved in the biological process described with anion transport
Tco_006926		Thioredoxin
Tco_006927		N-terminal region of glycosyl transferase group 7
Tco_006928	CACNB2	voltage-gated calcium channel activity
Tco_006930		EamA-like transporter family
Tco_006933		It is involved in the biological process described with transmembrane transport
Tco_006934	SAMD3	sterile alpha motif
Tco_006935		It is involved in the biological process described with transmembrane transport
Tco_006937		multidrug resistance-associated protein lethal(2)03659-like
Tco_006941		It is involved in the biological process described with transmembrane transport
Tco_006942		It is involved in the biological process described with transmembrane transport
Tco_006943		multidrug resistance-associated protein lethal(2)03659-like
Tco_006945		It is involved in the biological process described with transmembrane transport
Tco_006947	repo	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_006948	SA	STAG domain
Tco_006949	CCDC39	Coiled-coil domain-containing protein 39
Tco_006951		DDE superfamily endonuclease
Tco_006953		aromatase activity
Tco_006954		nuclease activity
Tco_006955		monooxygenase activity
Tco_006959		monooxygenase activity
Tco_006960	CYP2U1	cytochrome P450
Tco_006961		Transposase
Tco_006967		Rhomboid family
Tco_006968		heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_006970		Elongation factor
Tco_006971	PLIN2	Belongs to the perilipin family
Tco_006972		CHY zinc finger
Tco_006973		Belongs to the FBPase class 1 family
Tco_006974	Cdk7	It is involved in the biological process described with protein phosphorylation
Tco_006975		Receptor expression-enhancing protein
