KEGG	Genes
ko04659	Tco_002334
ko04660	Tco_002334
ko04662	Tco_002334
ko04720	Tco_002334
ko04724	Tco_002334
ko04921	Tco_002334
ko04922	Tco_002334
ko04924	Tco_002334
ko05010	Tco_002334
ko05014	Tco_002334
ko05031	Tco_002334
ko05152	Tco_002334
ko05166	Tco_002334
ko05167	Tco_002334
ko05134	Tco_002335
ko00310	Tco_002338
ko05205	Tco_002349
ko05206	Tco_002349
ko00040	Tco_002382
ko00053	Tco_002382
ko00140	Tco_002382
ko00830	Tco_002382
ko00860	Tco_002382
ko00980	Tco_002382
ko00982	Tco_002382
ko00983	Tco_002382
ko01100	Tco_002382
ko01110	Tco_002382
ko05204	Tco_002382
ko00970	Tco_002401
ko01100	Tco_002401
ko00330	Tco_002403
ko01100	Tco_002403
ko01524	Tco_002407
ko03430	Tco_002407
ko05200	Tco_002407
ko05210	Tco_002407
ko01524	Tco_002408
ko03430	Tco_002408
ko05200	Tco_002408
ko05210	Tco_002408
ko04151	Tco_002415
ko04510	Tco_002415
ko04512	Tco_002415
ko04514	Tco_002415
ko04640	Tco_002415
ko04670	Tco_002415
ko04672	Tco_002415
ko04810	Tco_002415
ko05140	Tco_002415
ko05165	Tco_002415
ko05410	Tco_002415
ko05412	Tco_002415
ko05414	Tco_002415
ko04015	Tco_002422
ko04611	Tco_002422
ko04010	Tco_002423
ko04014	Tco_002423
ko04015	Tco_002423
ko04072	Tco_002423
ko04137	Tco_002423
ko04140	Tco_002423
ko04218	Tco_002423
ko04371	Tco_002423
ko04810	Tco_002423
ko05166	Tco_002423
ko05205	Tco_002423
ko03050	Tco_002426
ko04612	Tco_002426
ko05160	Tco_002426
ko00532	Tco_002428
ko01100	Tco_002428
ko03410	Tco_002429
ko00330	Tco_002431
ko01100	Tco_002431
ko04810	Tco_002432
ko04146	Tco_002435
ko04141	Tco_002439
ko00982	Tco_002440
ko01120	Tco_002440
ko00982	Tco_002441
ko01120	Tco_002441
ko00982	Tco_002443
ko01120	Tco_002443
ko04360	Tco_002447
ko04014	Tco_002448
ko04137	Tco_002448
ko04620	Tco_002448
ko04621	Tco_002448
ko04622	Tco_002448
ko04623	Tco_002448
ko04657	Tco_002448
ko05160	Tco_002448
ko05161	Tco_002448
ko05162	Tco_002448
ko05164	Tco_002448
ko05165	Tco_002448
ko05167	Tco_002448
ko05168	Tco_002448
ko05169	Tco_002448
ko04014	Tco_002449
ko04137	Tco_002449
ko04620	Tco_002449
ko04621	Tco_002449
ko04622	Tco_002449
ko04623	Tco_002449
ko04657	Tco_002449
ko05160	Tco_002449
ko05161	Tco_002449
ko05162	Tco_002449
ko05164	Tco_002449
ko05165	Tco_002449
ko05167	Tco_002449
ko05168	Tco_002449
ko05169	Tco_002449
ko00051	Tco_002450
ko04152	Tco_002450
ko04919	Tco_002450
ko00190	Tco_002451
ko01100	Tco_002451
ko04260	Tco_002451
ko04714	Tco_002451
ko04932	Tco_002451
ko05010	Tco_002451
ko05012	Tco_002451
ko05016	Tco_002451
ko04136	Tco_002453
ko04138	Tco_002453
ko04140	Tco_002453
ko04216	Tco_002453
ko04010	Tco_002459
ko04020	Tco_002459
ko04022	Tco_002459
ko04024	Tco_002459
ko04218	Tco_002459
ko04260	Tco_002459
ko04261	Tco_002459
ko04270	Tco_002459
ko04530	Tco_002459
ko04713	Tco_002459
ko04723	Tco_002459
ko04724	Tco_002459
ko04725	Tco_002459
ko04726	Tco_002459
ko04727	Tco_002459
ko04728	Tco_002459
ko04911	Tco_002459
ko04912	Tco_002459
ko04921	Tco_002459
ko04924	Tco_002459
ko04925	Tco_002459
ko04927	Tco_002459
ko04930	Tco_002459
ko04934	Tco_002459
ko04973	Tco_002459
ko05010	Tco_002459
ko05031	Tco_002459
ko05410	Tco_002459
ko05412	Tco_002459
ko05414	Tco_002459
ko04010	Tco_002460
ko04020	Tco_002460
ko04022	Tco_002460
ko04024	Tco_002460
ko04218	Tco_002460
ko04260	Tco_002460
ko04261	Tco_002460
ko04270	Tco_002460
ko04530	Tco_002460
ko04713	Tco_002460
ko04723	Tco_002460
ko04724	Tco_002460
ko04725	Tco_002460
ko04726	Tco_002460
ko04727	Tco_002460
ko04728	Tco_002460
ko04911	Tco_002460
ko04912	Tco_002460
ko04921	Tco_002460
ko04924	Tco_002460
ko04925	Tco_002460
ko04927	Tco_002460
ko04930	Tco_002460
ko04934	Tco_002460
ko04973	Tco_002460
ko05010	Tco_002460
ko05031	Tco_002460
ko05410	Tco_002460
ko05412	Tco_002460
ko05414	Tco_002460
ko04010	Tco_002461
ko04020	Tco_002461
ko04022	Tco_002461
ko04024	Tco_002461
ko04218	Tco_002461
ko04260	Tco_002461
ko04261	Tco_002461
ko04270	Tco_002461
ko04530	Tco_002461
ko04713	Tco_002461
ko04723	Tco_002461
ko04724	Tco_002461
ko04725	Tco_002461
ko04726	Tco_002461
ko04727	Tco_002461
ko04728	Tco_002461
ko04911	Tco_002461
ko04912	Tco_002461
ko04921	Tco_002461
ko04924	Tco_002461
ko04925	Tco_002461
ko04927	Tco_002461
ko04930	Tco_002461
ko04934	Tco_002461
ko04973	Tco_002461
ko05010	Tco_002461
ko05031	Tco_002461
ko05410	Tco_002461
ko05412	Tco_002461
ko05414	Tco_002461
ko03018	Tco_002462
ko04150	Tco_002463
ko05161	Tco_002463
ko04550	Tco_002464
ko04010	Tco_002474
ko04260	Tco_002474
ko04261	Tco_002474
ko04921	Tco_002474
ko05410	Tco_002474
ko05412	Tco_002474
ko05414	Tco_002474
ko04010	Tco_002475
ko04260	Tco_002475
ko04261	Tco_002475
ko04921	Tco_002475
ko05410	Tco_002475
ko05412	Tco_002475
ko05414	Tco_002475
ko04151	Tco_002476
ko04510	Tco_002476
ko04512	Tco_002476
ko05165	Tco_002476
ko05206	Tco_002476
ko00561	Tco_002481
ko01100	Tco_002481
ko04714	Tco_002481
ko04723	Tco_002481
ko04923	Tco_002481
ko04120	Tco_002484
ko00330	Tco_002488
ko01100	Tco_002488
ko04141	Tco_002489
ko04151	Tco_002489
ko04626	Tco_002489
ko04657	Tco_002489
ko04915	Tco_002489
ko04918	Tco_002489
ko05200	Tco_002489
ko05215	Tco_002489
ko05418	Tco_002489
ko00601	Tco_002490
ko00603	Tco_002490
ko01100	Tco_002490
ko04062	Tco_002493
ko04144	Tco_002493
ko04520	Tco_002493
ko04530	Tco_002493
ko04666	Tco_002493
ko04810	Tco_002493
ko05100	Tco_002493
ko05130	Tco_002493
ko05131	Tco_002493
ko05132	Tco_002493
ko05231	Tco_002493
ko04340	Tco_002501
ko05016	Tco_002502
ko04940	Tco_002504
ko00280	Tco_002505
ko01100	Tco_002505
ko03030	Tco_002509
ko00330	Tco_002510
ko01100	Tco_002510
ko04216	Tco_002510
ko00562	Tco_002511
ko01100	Tco_002511
ko04070	Tco_002511
ko04140	Tco_002511
ko03008	Tco_002517
ko03450	Tco_002524
ko05340	Tco_002524
ko00601	Tco_002533
ko00603	Tco_002533
ko01100	Tco_002533
ko04010	Tco_002534
ko05166	Tco_002534
ko05202	Tco_002534
ko01521	Tco_002546
ko01522	Tco_002546
ko04010	Tco_002546
ko04012	Tco_002546
ko04013	Tco_002546
ko04014	Tco_002546
ko04062	Tco_002546
ko04068	Tco_002546
ko04072	Tco_002546
ko04150	Tco_002546
ko04151	Tco_002546
ko04320	Tco_002546
ko04510	Tco_002546
ko04540	Tco_002546
ko04630	Tco_002546
ko04650	Tco_002546
ko04660	Tco_002546
ko04662	Tco_002546
ko04664	Tco_002546
ko04714	Tco_002546
ko04722	Tco_002546
ko04810	Tco_002546
ko04910	Tco_002546
ko04912	Tco_002546
ko04915	Tco_002546
ko04917	Tco_002546
ko04926	Tco_002546
ko05034	Tco_002546
ko05160	Tco_002546
ko05165	Tco_002546
ko05200	Tco_002546
ko05205	Tco_002546
ko05206	Tco_002546
ko05210	Tco_002546
ko05211	Tco_002546
ko05213	Tco_002546
ko05214	Tco_002546
ko05215	Tco_002546
ko05220	Tco_002546
ko05221	Tco_002546
ko05223	Tco_002546
ko05224	Tco_002546
ko05225	Tco_002546
ko05226	Tco_002546
ko05231	Tco_002546
ko04130	Tco_002547
ko04138	Tco_002547
ko05225	Tco_002549
ko05200	Tco_002550
ko05223	Tco_002550
ko00920	Tco_002553
ko01100	Tco_002553
ko01120	Tco_002553
ko01130	Tco_002553
ko04810	Tco_002564
ko04111	Tco_002566
ko04142	Tco_002567
ko04210	Tco_002567
ko04010	Tco_002568
ko04014	Tco_002568
ko04015	Tco_002568
ko04024	Tco_002568
ko04062	Tco_002568
ko04510	Tco_002568
ko04530	Tco_002568
ko04611	Tco_002568
ko04670	Tco_002568
ko04720	Tco_002568
ko04722	Tco_002568
ko04934	Tco_002568
ko04972	Tco_002568
ko05211	Tco_002568
ko04136	Tco_002578
ko04138	Tco_002578
ko04140	Tco_002578
ko04371	Tco_002578
ko04710	Tco_002581
ko00860	Tco_002582
ko00970	Tco_002582
ko01100	Tco_002582
ko01110	Tco_002582
ko01120	Tco_002582
ko00860	Tco_002583
ko00970	Tco_002583
ko01100	Tco_002583
ko01110	Tco_002583
ko01120	Tco_002583
ko00330	Tco_002589
ko01100	Tco_002589
ko04216	Tco_002589
ko00330	Tco_002590
ko01100	Tco_002590
ko04216	Tco_002590
ko00330	Tco_002592
ko01100	Tco_002592
ko04216	Tco_002592
ko04141	Tco_002600
ko04150	Tco_002601
ko04310	Tco_002601
ko04390	Tco_002601
ko04550	Tco_002601
ko04916	Tco_002601
ko04934	Tco_002601
ko05165	Tco_002601
ko05166	Tco_002601
ko05200	Tco_002601
ko05205	Tco_002601
ko05217	Tco_002601
ko05224	Tco_002601
ko05225	Tco_002601
ko05226	Tco_002601
ko04150	Tco_002602
ko04310	Tco_002602
ko04390	Tco_002602
ko04550	Tco_002602
ko04916	Tco_002602
ko04934	Tco_002602
ko05165	Tco_002602
ko05166	Tco_002602
ko05200	Tco_002602
ko05205	Tco_002602
ko05217	Tco_002602
ko05224	Tco_002602
ko05225	Tco_002602
ko05226	Tco_002602
ko04150	Tco_002603
ko04310	Tco_002603
ko04390	Tco_002603
ko04391	Tco_002603
ko04550	Tco_002603
ko04916	Tco_002603
ko04934	Tco_002603
ko05165	Tco_002603
ko05166	Tco_002603
ko05200	Tco_002603
ko05205	Tco_002603
ko05217	Tco_002603
ko05224	Tco_002603
ko05225	Tco_002603
ko05226	Tco_002603
ko03460	Tco_002606
ko04110	Tco_002606
ko04115	Tco_002606
ko04214	Tco_002606
ko04218	Tco_002606
ko05165	Tco_002606
ko05166	Tco_002606
ko05168	Tco_002608
ko00051	Tco_002610
ko00520	Tco_002610
ko01100	Tco_002610
ko01110	Tco_002610
ko04141	Tco_002610
ko04630	Tco_002611
ko04917	Tco_002611
ko03008	Tco_002612
ko03010	Tco_002615
ko01521	Tco_002616
ko01522	Tco_002616
ko04010	Tco_002616
ko04012	Tco_002616
ko04013	Tco_002616
ko04014	Tco_002616
ko04015	Tco_002616
ko04020	Tco_002616
ko04060	Tco_002616
ko04066	Tco_002616
ko04068	Tco_002616
ko04072	Tco_002616
ko04144	Tco_002616
ko04151	Tco_002616
ko04214	Tco_002616
ko04320	Tco_002616
ko04510	Tco_002616
ko04520	Tco_002616
ko04540	Tco_002616
ko04630	Tco_002616
ko04810	Tco_002616
ko04912	Tco_002616
ko04915	Tco_002616
ko04921	Tco_002616
ko04926	Tco_002616
ko04934	Tco_002616
ko05120	Tco_002616
ko05160	Tco_002616
ko05165	Tco_002616
ko05200	Tco_002616
ko05205	Tco_002616
ko05206	Tco_002616
ko05210	Tco_002616
ko05212	Tco_002616
ko05213	Tco_002616
ko05214	Tco_002616
ko05215	Tco_002616
ko05218	Tco_002616
ko05219	Tco_002616
ko05223	Tco_002616
ko05224	Tco_002616
ko05225	Tco_002616
ko05226	Tco_002616
ko05230	Tco_002616
ko05231	Tco_002616
ko04136	Tco_002617
ko04137	Tco_002617
ko04138	Tco_002617
ko04140	Tco_002617
ko04215	Tco_002617
ko04371	Tco_002617
ko05167	Tco_002617
ko00020	Tco_002619
ko00640	Tco_002619
ko01100	Tco_002619
ko01110	Tco_002619
ko01120	Tco_002619
ko01130	Tco_002619
ko01200	Tco_002619
ko00520	Tco_002620
ko01100	Tco_002620
ko04111	Tco_002622
ko00280	Tco_002624
ko00630	Tco_002624
ko00640	Tco_002624
ko01100	Tco_002624
ko01120	Tco_002624
ko01130	Tco_002624
ko01200	Tco_002624
ko04390	Tco_002632
ko04391	Tco_002632
ko04530	Tco_002632
ko04660	Tco_002632
ko05165	Tco_002632
ko05166	Tco_002632
ko05203	Tco_002632
ko01523	Tco_002633
ko04144	Tco_002633
ko04659	Tco_002640
ko04915	Tco_002640
ko05200	Tco_002640
ko05202	Tco_002640
ko05221	Tco_002640
ko05222	Tco_002640
ko05223	Tco_002640
ko05226	Tco_002640
ko04659	Tco_002641
ko04915	Tco_002641
ko05200	Tco_002641
ko05202	Tco_002641
ko05221	Tco_002641
ko05222	Tco_002641
ko05223	Tco_002641
ko05226	Tco_002641
ko03013	Tco_002644
ko00230	Tco_002647
ko01100	Tco_002647
ko00240	Tco_002650
ko04310	Tco_002650
ko03013	Tco_002651
ko03013	Tco_002652
ko04141	Tco_002654
ko05164	Tco_002654
ko04745	Tco_002656
ko00230	Tco_002662
ko00240	Tco_002662
ko01100	Tco_002662
ko03030	Tco_002662
ko03410	Tco_002662
ko03420	Tco_002662
ko03430	Tco_002662
ko03440	Tco_002662
ko05166	Tco_002662
ko04150	Tco_002666
ko04310	Tco_002666
ko04390	Tco_002666
ko04550	Tco_002666
ko04916	Tco_002666
ko04934	Tco_002666
ko05165	Tco_002666
ko05166	Tco_002666
ko05200	Tco_002666
ko05205	Tco_002666
ko05217	Tco_002666
ko05224	Tco_002666
ko05225	Tco_002666
ko05226	Tco_002666
ko00270	Tco_002667
ko01100	Tco_002667
ko05206	Tco_002667
ko04390	Tco_002680
ko04550	Tco_002680
ko01521	Tco_002681
ko04010	Tco_002681
ko04014	Tco_002681
ko04015	Tco_002681
ko04144	Tco_002681
ko04146	Tco_002681
ko04151	Tco_002681
ko04550	Tco_002681
ko04810	Tco_002681
ko05200	Tco_002681
ko05215	Tco_002681
ko05226	Tco_002681
ko05230	Tco_002681
ko04360	Tco_002682
ko04360	Tco_002683
ko00511	Tco_002685
ko04390	Tco_002692
ko04550	Tco_002692
ko00970	Tco_002696
ko00510	Tco_002699
ko00513	Tco_002699
ko01100	Tco_002699
ko04141	Tco_002699
ko05200	Tco_002700
ko04150	Tco_002702
ko04138	Tco_002707
ko05165	Tco_002710
ko05203	Tco_002710
ko04141	Tco_002712
ko04014	Tco_002715
ko04015	Tco_002715
ko04016	Tco_002715
ko04020	Tco_002715
ko04022	Tco_002715
ko04024	Tco_002715
ko04070	Tco_002715
ko04114	Tco_002715
ko04218	Tco_002715
ko04261	Tco_002715
ko04270	Tco_002715
ko04371	Tco_002715
ko04626	Tco_002715
ko04713	Tco_002715
ko04720	Tco_002715
ko04722	Tco_002715
ko04728	Tco_002715
ko04740	Tco_002715
ko04744	Tco_002715
ko04745	Tco_002715
ko04750	Tco_002715
ko04910	Tco_002715
ko04912	Tco_002715
ko04915	Tco_002715
ko04916	Tco_002715
ko04921	Tco_002715
ko04922	Tco_002715
ko04924	Tco_002715
ko04925	Tco_002715
ko04970	Tco_002715
ko04971	Tco_002715
ko05010	Tco_002715
ko05031	Tco_002715
ko05034	Tco_002715
ko05133	Tco_002715
ko05152	Tco_002715
ko05167	Tco_002715
ko05200	Tco_002715
ko05214	Tco_002715
ko05418	Tco_002715
ko03018	Tco_002727
ko03013	Tco_002730
ko05416	Tco_002730
ko04146	Tco_002739
ko04013	Tco_002740
ko04014	Tco_002740
ko04072	Tco_002740
ko04360	Tco_002740
ko04630	Tco_002740
ko04650	Tco_002740
ko04670	Tco_002740
ko04722	Tco_002740
ko04920	Tco_002740
ko04931	Tco_002740
ko05120	Tco_002740
ko05168	Tco_002740
ko05205	Tco_002740
ko05211	Tco_002740
ko05220	Tco_002740
ko04010	Tco_002741
ko04011	Tco_002741
ko04014	Tco_002741
ko04015	Tco_002741
ko04062	Tco_002741
ko04144	Tco_002741
ko04360	Tco_002741
ko04370	Tco_002741
ko04510	Tco_002741
ko04520	Tco_002741
ko04530	Tco_002741
ko04660	Tco_002741
ko04666	Tco_002741
ko04670	Tco_002741
ko04722	Tco_002741
ko04810	Tco_002741
ko04912	Tco_002741
ko04932	Tco_002741
ko04933	Tco_002741
ko05100	Tco_002741
ko05120	Tco_002741
ko05130	Tco_002741
ko05131	Tco_002741
ko05132	Tco_002741
ko05165	Tco_002741
ko05200	Tco_002741
ko05203	Tco_002741
ko05205	Tco_002741
ko05211	Tco_002741
ko05212	Tco_002741
ko04142	Tco_002751
ko00190	Tco_002756
ko01100	Tco_002756
ko04714	Tco_002756
ko04723	Tco_002756
ko04932	Tco_002756
ko05010	Tco_002756
ko05012	Tco_002756
ko05016	Tco_002756
ko00230	Tco_002757
ko00270	Tco_002758
ko00330	Tco_002758
ko00410	Tco_002758
ko00480	Tco_002758
ko01100	Tco_002758
ko00564	Tco_002760
ko04216	Tco_002760
ko04146	Tco_002763
ko04621	Tco_002763
ko04512	Tco_002767
ko05161	Tco_002767
ko05205	Tco_002767
ko04512	Tco_002769
ko05161	Tco_002769
ko05205	Tco_002769
ko00900	Tco_002776
ko01100	Tco_002776
ko01110	Tco_002776
ko01130	Tco_002776
ko03022	Tco_002776
ko05168	Tco_002776
ko03008	Tco_002778
ko03018	Tco_002778
ko03060	Tco_002779
ko00760	Tco_002792
ko01100	Tco_002792
ko00511	Tco_002795
ko00511	Tco_002797
ko04350	Tco_002800
ko03022	Tco_002806
ko03420	Tco_002806
ko05203	Tco_002806
ko00604	Tco_002810
ko01100	Tco_002810
ko00230	Tco_002814
ko00983	Tco_002814
ko01100	Tco_002814
ko04146	Tco_002822
ko00030	Tco_002826
ko00480	Tco_002826
ko01100	Tco_002826
ko01110	Tco_002826
ko01120	Tco_002826
ko01130	Tco_002826
ko01200	Tco_002826
ko00010	Tco_002830
ko00710	Tco_002830
ko01100	Tco_002830
ko01110	Tco_002830
ko01120	Tco_002830
ko01130	Tco_002830
ko01200	Tco_002830
ko01230	Tco_002830
ko04066	Tco_002830
ko05010	Tco_002830
ko05012	Tco_002832
ko05132	Tco_002840
ko03410	Tco_002843
ko03460	Tco_002848
ko04330	Tco_002848
ko04950	Tco_002848
ko05165	Tco_002848
ko05200	Tco_002848
ko05224	Tco_002848
ko04137	Tco_002849
ko04214	Tco_002849
ko04621	Tco_002849
ko03460	Tco_002850
ko04066	Tco_002851
ko04911	Tco_002851
ko04919	Tco_002851
ko04920	Tco_002851
ko04922	Tco_002851
ko04931	Tco_002851
ko04976	Tco_002851
ko05166	Tco_002851
ko05200	Tco_002851
ko05211	Tco_002851
ko05230	Tco_002851
ko03460	Tco_002861
ko04330	Tco_002861
ko04950	Tco_002861
ko05165	Tco_002861
ko05200	Tco_002861
ko05224	Tco_002861
ko04080	Tco_002862
ko04750	Tco_002862
ko04924	Tco_002862
ko05165	Tco_002862
ko05200	Tco_002862
ko04360	Tco_002879
ko04360	Tco_002881
ko00601	Tco_002885
ko01100	Tco_002885
ko00240	Tco_002886
ko00983	Tco_002886
ko01100	Tco_002886
ko03060	Tco_002891
ko04141	Tco_002891
ko03040	Tco_002893
ko03018	Tco_002895
ko01524	Tco_002896
ko04115	Tco_002896
ko04151	Tco_002896
ko04210	Tco_002896
ko04214	Tco_002896
ko04215	Tco_002896
ko04217	Tco_002896
ko04370	Tco_002896
ko04620	Tco_002896
ko04621	Tco_002896
ko04622	Tco_002896
ko04624	Tco_002896
ko04657	Tco_002896
ko04668	Tco_002896
ko04919	Tco_002896
ko04932	Tco_002896
ko05010	Tco_002896
ko05012	Tco_002896
ko05014	Tco_002896
ko05016	Tco_002896
ko05134	Tco_002896
ko05142	Tco_002896
ko05145	Tco_002896
ko05152	Tco_002896
ko05161	Tco_002896
ko05164	Tco_002896
ko05165	Tco_002896
ko05167	Tco_002896
ko05168	Tco_002896
ko05200	Tco_002896
ko05203	Tco_002896
ko05210	Tco_002896
ko05212	Tco_002896
ko05213	Tco_002896
ko05215	Tco_002896
ko05222	Tco_002896
ko05223	Tco_002896
ko05416	Tco_002896
ko00510	Tco_002909
ko00513	Tco_002909
ko01100	Tco_002909
ko04978	Tco_002912
ko00350	Tco_002920
ko00970	Tco_002926
ko03050	Tco_002932
ko04714	Tco_002947
ko04360	Tco_002973
ko03460	Tco_002989
ko04330	Tco_002989
ko04950	Tco_002989
ko05165	Tco_002989
ko05200	Tco_002989
ko05224	Tco_002989
ko00562	Tco_003002
ko01521	Tco_003002
ko01522	Tco_003002
ko01524	Tco_003002
ko04012	Tco_003002
ko04014	Tco_003002
ko04015	Tco_003002
ko04024	Tco_003002
ko04062	Tco_003002
ko04066	Tco_003002
ko04068	Tco_003002
ko04070	Tco_003002
ko04071	Tco_003002
ko04072	Tco_003002
ko04140	Tco_003002
ko04150	Tco_003002
ko04151	Tco_003002
ko04152	Tco_003002
ko04210	Tco_003002
ko04211	Tco_003002
ko04212	Tco_003002
ko04213	Tco_003002
ko04218	Tco_003002
ko04360	Tco_003002
ko04370	Tco_003002
ko04380	Tco_003002
ko04510	Tco_003002
ko04550	Tco_003002
ko04611	Tco_003002
ko04620	Tco_003002
ko04630	Tco_003002
ko04650	Tco_003002
ko04660	Tco_003002
ko04662	Tco_003002
ko04664	Tco_003002
ko04666	Tco_003002
ko04668	Tco_003002
ko04670	Tco_003002
ko04722	Tco_003002
ko04725	Tco_003002
ko04750	Tco_003002
ko04810	Tco_003002
ko04910	Tco_003002
ko04914	Tco_003002
ko04915	Tco_003002
ko04917	Tco_003002
ko04919	Tco_003002
ko04923	Tco_003002
ko04926	Tco_003002
ko04930	Tco_003002
ko04931	Tco_003002
ko04932	Tco_003002
ko04933	Tco_003002
ko04960	Tco_003002
ko04973	Tco_003002
ko05100	Tco_003002
ko05142	Tco_003002
ko05146	Tco_003002
ko05160	Tco_003002
ko05161	Tco_003002
ko05162	Tco_003002
ko05164	Tco_003002
ko05165	Tco_003002
ko05166	Tco_003002
ko05167	Tco_003002
ko05169	Tco_003002
ko05200	Tco_003002
ko05203	Tco_003002
ko05205	Tco_003002
ko05210	Tco_003002
ko05211	Tco_003002
ko05212	Tco_003002
ko05213	Tco_003002
ko05214	Tco_003002
ko05215	Tco_003002
ko05218	Tco_003002
ko05220	Tco_003002
ko05221	Tco_003002
ko05222	Tco_003002
ko05223	Tco_003002
ko05224	Tco_003002
ko05225	Tco_003002
ko05226	Tco_003002
ko05230	Tco_003002
ko05231	Tco_003002
ko05418	Tco_003002
ko00450	Tco_003003
ko01100	Tco_003003
ko03040	Tco_003029
ko00590	Tco_003030
ko01100	Tco_003030
ko04144	Tco_003032
ko04015	Tco_003033
ko04144	Tco_003033
ko04390	Tco_003033
ko04391	Tco_003033
ko04530	Tco_003033
ko04611	Tco_003033
ko04910	Tco_003033
ko05165	Tco_003033
ko04550	Tco_003034
ko04016	Tco_003037
ko04150	Tco_003042
ko04310	Tco_003042
ko04330	Tco_003042
ko04390	Tco_003042
ko04550	Tco_003042
ko04916	Tco_003042
ko04934	Tco_003042
ko05165	Tco_003042
ko05166	Tco_003042
ko05200	Tco_003042
ko05217	Tco_003042
ko05224	Tco_003042
ko05225	Tco_003042
ko05226	Tco_003042
ko04146	Tco_003043
ko03040	Tco_003046
ko04010	Tco_003046
ko04141	Tco_003046
ko04144	Tco_003046
ko04213	Tco_003046
ko04612	Tco_003046
ko04915	Tco_003046
ko05134	Tco_003046
ko05145	Tco_003046
ko05162	Tco_003046
ko05164	Tco_003046
ko05169	Tco_003046
ko01524	Tco_003048
ko04136	Tco_003072
ko04138	Tco_003072
ko04140	Tco_003072
ko00310	Tco_003077
ko05206	Tco_003077
ko00250	Tco_003078
ko00330	Tco_003078
ko01100	Tco_003078
ko04512	Tco_003082
ko04512	Tco_003086
ko04512	Tco_003087
ko04512	Tco_003095
ko00020	Tco_003099
ko00190	Tco_003099
ko01100	Tco_003099
ko01110	Tco_003099
ko01120	Tco_003099
ko01130	Tco_003099
ko01200	Tco_003099
ko04714	Tco_003099
ko04932	Tco_003099
ko05010	Tco_003099
ko05012	Tco_003099
ko05016	Tco_003099
ko04146	Tco_003107
ko03018	Tco_003110
ko00531	Tco_003115
ko01100	Tco_003115
ko04350	Tco_003115
ko00900	Tco_003116
ko01130	Tco_003116
ko04015	Tco_003120
ko04015	Tco_003121
ko04120	Tco_003125
ko04141	Tco_003125
ko05012	Tco_003125
ko03060	Tco_003134
ko04710	Tco_003141
ko04711	Tco_003141
ko04713	Tco_003141
ko05168	Tco_003141
ko05202	Tco_003141
ko05221	Tco_003141
ko01524	Tco_003152
ko00562	Tco_003154
ko01521	Tco_003154
ko01522	Tco_003154
ko01524	Tco_003154
ko04012	Tco_003154
ko04014	Tco_003154
ko04015	Tco_003154
ko04024	Tco_003154
ko04062	Tco_003154
ko04066	Tco_003154
ko04068	Tco_003154
ko04070	Tco_003154
ko04071	Tco_003154
ko04072	Tco_003154
ko04140	Tco_003154
ko04150	Tco_003154
ko04151	Tco_003154
ko04152	Tco_003154
ko04210	Tco_003154
ko04211	Tco_003154
ko04212	Tco_003154
ko04213	Tco_003154
ko04218	Tco_003154
ko04360	Tco_003154
ko04370	Tco_003154
ko04380	Tco_003154
ko04510	Tco_003154
ko04550	Tco_003154
ko04611	Tco_003154
ko04620	Tco_003154
ko04630	Tco_003154
ko04650	Tco_003154
ko04660	Tco_003154
ko04662	Tco_003154
ko04664	Tco_003154
ko04666	Tco_003154
ko04668	Tco_003154
ko04670	Tco_003154
ko04722	Tco_003154
ko04725	Tco_003154
ko04750	Tco_003154
ko04810	Tco_003154
ko04910	Tco_003154
ko04914	Tco_003154
ko04915	Tco_003154
ko04917	Tco_003154
ko04919	Tco_003154
ko04923	Tco_003154
ko04926	Tco_003154
ko04930	Tco_003154
ko04931	Tco_003154
ko04932	Tco_003154
ko04933	Tco_003154
ko04960	Tco_003154
ko04973	Tco_003154
ko05100	Tco_003154
ko05142	Tco_003154
ko05146	Tco_003154
ko05160	Tco_003154
ko05161	Tco_003154
ko05162	Tco_003154
ko05164	Tco_003154
ko05165	Tco_003154
ko05166	Tco_003154
ko05167	Tco_003154
ko05169	Tco_003154
ko05200	Tco_003154
ko05203	Tco_003154
ko05205	Tco_003154
ko05210	Tco_003154
ko05211	Tco_003154
ko05212	Tco_003154
ko05213	Tco_003154
ko05214	Tco_003154
ko05215	Tco_003154
ko05218	Tco_003154
ko05220	Tco_003154
ko05221	Tco_003154
ko05222	Tco_003154
ko05223	Tco_003154
ko05224	Tco_003154
ko05225	Tco_003154
ko05226	Tco_003154
ko05230	Tco_003154
ko05231	Tco_003154
ko05418	Tco_003154
ko01522	Tco_003170
ko01524	Tco_003170
ko04010	Tco_003170
ko04071	Tco_003170
ko04110	Tco_003170
ko04115	Tco_003170
ko04137	Tco_003170
ko04151	Tco_003170
ko04210	Tco_003170
ko04211	Tco_003170
ko04214	Tco_003170
ko04216	Tco_003170
ko04218	Tco_003170
ko04310	Tco_003170
ko04390	Tco_003170
ko04391	Tco_003170
ko04722	Tco_003170
ko04919	Tco_003170
ko05014	Tco_003170
ko05016	Tco_003170
ko05160	Tco_003170
ko05161	Tco_003170
ko05162	Tco_003170
ko05165	Tco_003170
ko05166	Tco_003170
ko05167	Tco_003170
ko05168	Tco_003170
ko05169	Tco_003170
ko05200	Tco_003170
ko05202	Tco_003170
ko05203	Tco_003170
ko05205	Tco_003170
ko05206	Tco_003170
ko05210	Tco_003170
ko05212	Tco_003170
ko05213	Tco_003170
ko05214	Tco_003170
ko05215	Tco_003170
